NPAID,Name,m/z,CCS,Adduct
NPA000092,"2-(1',5'-heptadienyl)-3,6-dihydroxy-5-(3""-methyl-2""-butenyl)benzaldehyde",301.1798,180.14679,M+H
NPA000093,6-hydroxychrolactomycin,449.217,211.4178,M+H
NPA000094,"(4S)-2,4-dimethyl-5-oxo-2,5-dihydrofuran-3-carboxylic acid",157.0496,134.47182,M+H
NPA000095,Penicibrocazine C,455.1305,199.79204,M+H
NPA000096,Vanillobiocin,659.1639,246.27986,M+H
NPA000097,Ascomycone A,303.0863,173.8643,M+H
NPA000098,Koninginin J,297.1697,172.13254,M+H
NPA000099,Preussidone,355.1176,190.08229,M+H
NPA000100,Hebelophyllene C,267.1591,179.2173,M+H
NPA000101,Allocyathin A4,333.2061,186.4692,M+H
NPA000102,Methylspinazarin,237.0394,147.97298,M+H
NPA000103,Chloriolin C,443.2195,210.24792,M+H
NPA000104,Cohaerin B,455.2065,206.82182,M+H
NPA000105,Epothilone E,510.252,230.5137,M+H
NPA000106,Petchiether A,361.201,187.68924,M+H
NPA000107,Oxaloterpin D,360.2533,192.27222,M+H
NPA000108,Sesquicillin B,501.2847,217.29695,M+H
NPA000109,SCH 64879,899.6818,296.58347,M+H
NPA000110,Not named,764.3169,266.53116,M+H
NPA000111,Armochaetoglobin N,512.2908,226.51022,M+H
NPA000112,(-)-ganoapplanatumine A,258.1125,161.80731,M+H
NPA000113,Leptofuranin B,527.3731,233.95227,M+H
NPA000114,Parmosidone A,375.0711,181.9558,M+H
NPA000115,Hinakurin,567.1286,228.84929,M+H
NPA000116,Carzinophilin,640.2137,234.52406,M+H
NPA000117,Arisugacin F,439.2479,211.10008,M+H
NPA000118,UCF-116-A,649.3484,262.89352,M+H
NPA000120,Ushikulide A,709.4885,268.3653,M+H
NPA000121,Sporidesmin B,458.0606,206.54828,M+H
NPA000122,Dehydrofusaric acid,178.0863,140.86192,M+H
NPA000123,Zaragozic acid D2,707.3274,250.61877,M+H
NPA000124,Luteusin D,461.1726,217.43886,M+H
NPA000125,Sulphureuine G,257.2111,165.7712,M+H
NPA000126,Syringolin H,510.3286,224.62933,M+H
NPA000127,Isocycloheximide,282.17,166.8509,M+H
NPA000128,Panglimycin E,343.1176,178.63039,M+H
NPA000129,Hypocrenone A,259.1329,156.81921,M+H
NPA000130,Rubiginosin B,403.1388,195.53816,M+H
NPA000131,Platensimycin A6 methyl ester,474.2123,207.51006,M+H
NPA000132,Prolipyrone B,211.0601,150.54427,M+H
NPA000133,Penicillither,397.0685,188.60468,M+H
NPA000134,(12R)-12-hydroxymonocerin,325.1282,190.20328,M+H
NPA000135,Clavaminic acid,199.0714,147.6613,M+H
NPA000136,Inoterpene E,475.3782,230.11438,M+H
NPA000137,VM-55599,350.2227,191.1298,M+H
NPA000138,F-11334-B1,195.1016,146.79778,M+H
NPA000139,Petrobactin sulfonate,785.3022,254.01648,M+H
NPA000140,Tensyuic acid C,273.1333,164.83693,M+H
NPA000141,SW-163B,657.2654,253.11626,M+H
NPA000142,Phomadecalin B,307.154,171.98836,M+H
NPA000143,Terricollene B,339.1439,178.2801,M+H
NPA000144,6’-dehydroxytrichoverrin B,517.2796,226.41197,M+H
NPA000145,Flagranone A,457.2221,213.01053,M+H
NPA000146,Oblongolide O,237.1485,156.91495,M+H
NPA000147,Sterenin M,498.2123,217.74152,M+H
NPA000148,Indole-3-acetyl-epsilon-L-lysine,304.1656,165.77388,M+H
NPA000149,Clonoamide,252.1958,167.37535,M+H
NPA000150,Paecilomycin K,365.1595,193.30675,M+H
NPA000151,Epi-isozizaene,205.1951,154.77214,M+H
NPA000152,Phomopsin C,337.201,194.31007,M+H
NPA000153,Dictyoquinazol A,313.1183,176.79909,M+H
NPA000154,Corynechromone A,309.1333,176.98393,M+H
NPA000155,Hyapyrroline A,568.3633,228.59166,M+H
NPA000156,Venezueline G,196.0968,141.19412,M+H
NPA000157,Hamigeromycin D,395.1701,193.95001,M+H
NPA000158,Xylaripyrone A,171.0652,136.05818,M+H
NPA000159,Cyclo(D-Tyr-D-Pro),261.1234,166.17624,M+H
NPA000160,8-Hydroxy-4-methoxyquinoline-2-carbothioic S-acid,236.0376,149.28456,M+H
NPA000161,Obionin A,357.1697,206.22856,M+H
NPA000162,Penicillactone B,533.2018,232.68263,M+H
NPA000163,21-O-Deacetylcytochalasin Q,466.2588,215.91765,M+H
NPA000164,Nonylprodigiosin,364.2384,199.69545,M+H
NPA000165,Not named,265.0029,155.01895,M+H
NPA000166,Sterpurol A,237.1849,152.54141,M+H
NPA000167,MBA 028-24 A,1082.6734,321.39597,M+H
NPA000168,Mucidone,181.1223,145.71188,M+H
NPA000169,"(3S)‐8‐[(6‐O‐acetyl‐β‐D‐glucopyranosyl)oxy]‐3‐[(1E,3E,5E)‐hepta‐1,3,5‐trienyl]‐3,4‐dihydro‐6‐methoxy‐5‐methyl‐1H‐2‐benzopyran‐1‐one",505.2068,218.78192,M+H
NPA000170,Not named,1124.6238,329.9985,M+H
NPA000171,(+)-epoxyserinone B,227.0914,157.0058,M+H
NPA000172,Ganoderic acid D,519.3317,224.3293,M+H
NPA000173,Arthrofactin,1354.808,366.45566,M+H
NPA000174,Aspereline C,923.5925,306.11313,M+H
NPA000175,Aschernaphthopyrone A,517.1493,217.40388,M+H
NPA000176,Punctaporonin H,311.1853,178.87193,M+H
NPA000177,Conidiogenone D,319.2268,184.26634,M+H
NPA000178,Sch 50676,335.0914,187.76065,M+H
NPA000179,Taveuniamide D,454.0505,190.17686,M+H
NPA000180,Massetolide H,1154.7283,342.23038,M+H
NPA000181,Fuzanin D,220.1332,160.67255,M+H
NPA000182,"2,3-dihydroxypropyl (Z)-10-methyloctadec-9-enoate",371.3156,205.74216,M+H
NPA000183,SCH-64877,769.1952,269.84506,M+H
NPA000184,Guineamide A,614.3007,241.17812,M+H
NPA000185,"1,4,6b,7,10-pentahydroxy-1,2,6b,7,8,12b-hexahydroperylene-3,9-dione",369.0969,191.71805,M+H
NPA000186,Calocerin C,238.0266,154.74007,M+H
NPA000187,"5α,8α-epidioxy-24(R)-methylcholesta-6,22-dien-3β-ol",431.352,216.76143,M+H
NPA000188,Carbazomycin B,242.1176,158.07475,M+H
NPA000189,"5-hydroxy-2,7-dimethoxy-8-methylnaphthoquinone",249.0758,159.72571,M+H
NPA000190,Paecilocin D,263.1642,174.87926,M+H
NPA000191,Scopararane F,351.2166,173.96815,M+H
NPA000192,Kigamicin A,666.2181,243.46129,M+H
NPA000193,Menaquinone MK-7,649.4979,245.61731,M+H
NPA000194,Neomangicol C,417.2636,194.76839,M+H
NPA000195,Salinipostin A,473.3027,213.04913,M+H
NPA000196,Maristachone B,213.1122,148.58885,M+H
NPA000197,Maltepolide B,515.3004,233.02533,M+H
NPA000198,Actinomycin Y2,1307.571,352.72403,M+H
NPA000199,Deoxyneo-beta-hydroxyaspergillic acid,225.1598,164.04932,M+H
NPA000200,3'-O-[beta-D-galactopyranosyl-(1-->4)-beta-D-galactopyranosyl]-5-bromouridine,647.093,214.2297,M+H
NPA000201,Nisamycin,426.1911,205.33397,M+H
NPA000202,"CJ-19,784",423.0074,191.5643,M+H
NPA000203,Neovasipyrone B,327.1802,187.5634,M+H
NPA000204,Hirsutenol C,251.1642,160.63472,M+H
NPA000205,Hexatenuin A,569.3473,250.75972,M+H
NPA000206,Petromurin A,513.2384,225.6069,M+H
NPA000207,Sassafrin C,467.2065,217.976,M+H
NPA000208,Prejadomycin 2-carboxylate,369.0969,181.82994,M+H
NPA000209,Leiwansterol A,461.3626,219.40596,M+H
NPA000211,"5-Hydroxy-3,4,5-trimethylfuran-2(5H)-one",143.0703,133.42189,M+H
NPA000212,35‐O‐α‐altruronopyranosylbacteriohopanetetrol,723.5042,257.68503,M+H
NPA000213,Cytochalasin Z19,528.2592,222.41554,M+H
NPA000214,Spirotryprostatin A,396.1918,194.6881,M+H
NPA000215,Ascosteroside,647.4154,242.4493,M+H
NPA000216,Pestaloficiol V,261.1485,161.80672,M+H
NPA000217,Tenelate B,487.2327,212.28409,M+H
NPA000218,Agglomerin B,293.1748,177.34477,M+H
NPA000219,Irlactin E,251.1642,170.57738,M+H
NPA000220,9-Hydroxylarone,239.1278,162.47267,M+H
NPA000221,Spirangien G,719.4729,263.7781,M+H
NPA000222,Luminacin G2,465.2483,221.75114,M+H
NPA000223,Erythrin,423.1286,193.73714,M+H
NPA000224,Trichoaurantianolide D,391.2115,192.51666,M+H
NPA000225,"2′,3′,4′′-triacetoxy-3,4,5′,6′-tetrahydroxy-p-terphenyl",469.1129,199.63458,M+H
NPA000226,Pullularin F,709.3807,254.7877,M+H
NPA000227,methyl 1-(1-b-Glucopyranosyl)-1H-indole-3-acetate,352.1391,174.51881,M+H
NPA000228,Tirandamycin G,422.2174,203.11177,M+H
NPA000229,16-deoxo-paraherquamide J,478.2701,216.43556,M+H
NPA000230,Saponaceolide O,517.316,237.12007,M+H
NPA000232,Beticolin 0,623.0951,243.63664,M+H
NPA000233,2-[4'-(methylamino)phenyl]quinazolin-4(3H)-one,252.1132,160.36443,M+H
NPA000234,Abyssomicin D,349.1646,194.82585,M+H
NPA000235,Lucidulactone A,255.0863,164.02747,M+H
NPA000236,Bacilosarcin C,495.2337,221.74303,M+H
NPA000237,Stachybotrin A,402.2275,196.16269,M+H
NPA000238,SMTP-7,869.4947,290.2733,M+H
NPA000239,(-)-applanatumol K,323.1126,171.48732,M+H
NPA000240,Not named,115.0754,118.54112,M+H
NPA000241,Guanacastepene K,389.1959,199.59317,M+H
NPA000242,2-methyl-phenol,109.0648,124.93029,M+H
NPA000243,(±)-hemi-oxanthromicin B,343.1176,189.76636,M+H
NPA000244,6-(3'-methylbuten-2'-yl) isatin,216.1019,151.88744,M+H
NPA000245,Fudecalone,251.1642,164.6497,M+H
NPA000246,Phomodione,391.1388,189.7957,M+H
NPA000247,"methyl 3,5-dichloro-4-methoxybenzoate",234.9923,148.36269,M+H
NPA000248,Melanoxadin,170.0812,137.50215,M+H
NPA000249,(2S)-5-acetamidopentyl 2-hydroxypropanoate,218.1387,153.0382,M+H
NPA000250,Ripostatin B,497.2898,215.93085,M+H
NPA000251,"7RS,11RS,2H-3,4,4a,5a,7,8-hexahydro-pyrano[2,3-b]cyclopenta[d]pyran-9(6H)-one",195.1016,152.13881,M+H
NPA000252,Arthropsatriol B,227.1278,158.0732,M+H
NPA000253,Chaxamycin B,624.3167,240.44221,M+H
NPA000254,"2,4-Dimethylindole",146.0964,134.32693,M+H
NPA000255,Epothilone C7,494.2571,236.82806,M+H
NPA000256,Inotilone,219.0652,154.28769,M+H
NPA000257,Pleosporone,291.0863,165.83205,M+H
NPA000258,Ravenelone,427.154,200.03407,M+H
NPA000259,Taxlllaid A,808.5543,285.60382,M+H
NPA000260,Coprismycin B,275.0849,161.16156,M+H
NPA000261,Iso-cladospolide B,229.1435,156.85635,M+H
NPA000262,Paecilomycine A,351.1802,190.19182,M+H
NPA000263,SNF-4794-7,535.4357,243.9275,M+H
NPA000265,Incrustoporin,203.1067,151.144,M+H
NPA000266,Microcystin-FR,1029.5404,317.3701,M+H
NPA000267,Izuminoside A,387.1187,188.51924,M+H
NPA000268,"4-methyl-7,11-heptadecadienoic acid",281.2475,171.63736,M+H
NPA000269,Saponaceolide H,519.3317,238.18265,M+H
NPA000270,Monocillinol B,240.0867,157.06903,M+H
NPA000271,Muraymycin B3,1086.5678,316.52457,M+H
NPA000272,Chlorohyellazole,322.0993,180.77678,M+H
NPA000273,"(3S)-(3',5'-dihydroxyphenyl)butan-2-one",181.0859,144.74644,M+H
NPA000274,Magnicol E,405.3,198.06891,M+H
NPA000275,Penicitrinol L,363.1802,185.3347,M+H
NPA000276,Asperpyrone B,571.1599,245.68968,M+H
NPA000277,Asterriquinone CT2,505.2122,223.70424,M+H
NPA000278,Isocadinanol A,255.1955,174.4941,M+H
NPA000279,"(7R*,8S*)-4,7,8-trihydroxy-3,6,7,8-tetrahydronaphtho[2,3-c]furan-5(1H)-one",237.0758,158.74059,M+H
NPA000280,"2α,11-dihydroxy-6-oxodrim-7-ene",253.1798,162.20523,M+H
NPA000281,Inonotin G,269.1748,167.79338,M+H
NPA000282,Cochleamycin A,375.1802,195.63847,M+H
NPA000283,Tsugarioside C,617.4412,243.47607,M+H
NPA000284,N-methyl-streptothricin D,773.4628,267.29266,M+H
NPA000285,Brassicicene E,423.2378,207.33699,M+H
NPA000286,"7,9-dihydroxy-3-(1H-indol-3-ylmethyl)-8-methoxy-2,3,11,11a-tetrahydro-6H-pyrazino[1,2-b]isoquinoline-1,4-dione",408.1554,194.22618,M+H
NPA000287,Milbemycin β9,561.3422,234.21275,M+H
NPA000288,Exochelin MS,609.3203,231.61728,M+H
NPA000289,Radarin D,408.3261,206.04411,M+H
NPA000290,Brocaenol A,335.0762,187.5377,M+H
NPA000291,"1,4-dimethoxy-2,3,5,6-tetrachlorobenzene",274.9195,152.83252,M+H
NPA000292,3-Keto-drimenol,237.1849,158.57681,M+H
NPA000293,Carbonarone B,230.0812,155.10815,M+H
NPA000294,D-Phe-L-Val-D-Val-L-Tyr,527.2864,222.2707,M+H
NPA000295,Mycestericin F,388.3058,209.92213,M+H
NPA000296,Brasilamide M,294.1336,174.15341,M+H
NPA000297,Fomitoside I,619.4205,240.08159,M+H
NPA000298,Jadomycin Ala,508.1602,223.994,M+H
NPA000299,6-hydroxymetatacarboline B,526.1933,219.9571,M+H
NPA000300,"CJ-15,801",218.1023,148.22133,M+H
NPA000301,Penochalasin D,512.2908,219.98976,M+H
NPA000302,Sch53514,367.0813,186.68243,M+H
NPA000303,"3-O-β-d-glucopyranosyl-22E,24R-5α,8α-epidioxyergosta-6,22-diene,",591.3892,234.17877,M+H
NPA000304,4β-acetoxy-9β-10β-15α-trihydroxyprobotrydial,313.201,173.73155,M+H
NPA000305,Quartromicin D2,1185.5629,329.5425,M+H
NPA000306,Bjerkanderol A,183.1016,143.30272,M+H
NPA000307,Strobilurin I,375.1802,200.76047,M+H
NPA000308,Fusicoccin Q,499.2902,226.1916,M+H
NPA000309,"(3S,5E,7S,8S)-13-Bromo-3,4,7,8,9,10-hexahydro-7,8,9,16-tetrahydroxy-14-methoxy-3-methyl-1H-2-benzooxacyclotetradecin-1-one",443.07,195.527,M+H
NPA000310,Chaetocochin J,711.1183,239.25792,M+H
NPA000311,"N-<9,10-dihydro-7-iso-jasmonoyl>-(S)-isoleucine",326.2326,192.83652,M+H
NPA000312,Thiomuracin D,1309.2388,334.6071,M+H
NPA000315,Agrocybyne C,134.0601,127.73691,M+H
NPA000316,Asterobactin A,770.3931,269.42618,M+H
NPA000317,Lucensimycin F,1011.3639,284.9759,M+H
NPA000318,Saccharosacrin B,1254.7146,354.22736,M+H
NPA000319,Halovir C,850.6376,297.0891,M+H
NPA000320,Dl-fucosamin,164.0918,138.44505,M+H
NPA000321,Penicillar C,183.138,150.7353,M+H
NPA000322,5-hydroxymethylfurfural,127.039,120.671005,M+H
NPA000323,Lecanorafuran B,455.1489,217.10683,M+H
NPA000324,15G256κ,299.1126,166.60057,M+H
NPA000325,Coniofurol A,337.0918,179.43095,M+H
NPA000326,Naphthomycin A,720.2934,265.77786,M+H
NPA000327,Alternariol-9-methyl ether,273.0758,172.23378,M+H
NPA000328,Coniothyrinone B,263.1278,160.3499,M+H
NPA000329,Gulypyrone A,213.1122,153.17982,M+H
NPA000330,Elmenol B,337.1435,188.19788,M+H
NPA000331,Microcin C51,1178.4409,316.27463,M+H
NPA000332,3beta-Acetoxyfern-9(11)-en-19beta-ol,485.3989,221.26411,M+H
NPA000333,Methylmenaquinone MMK-8(VIII-H2),733.5918,259.50235,M+H
NPA000334,Thioactin,1057.1957,303.9924,M+H
NPA000335,Iso-C17 bacillomycin D,1073.5878,308.05777,M+H
NPA000336,Mycoleptone A,429.1544,198.85506,M+H
NPA000337,Resorstatin,265.2162,173.83214,M+H
NPA000338,Squalestatin T1,689.2804,249.01268,M+H
NPA000339,Pyrenochaetic acid G,253.1071,161.47366,M+H
NPA000340,Asporyzin A,436.2846,214.17361,M+H
NPA000341,Oxopropaline G,255.1128,161.0692,M+H
NPA000342,Aurantiomide C,341.1608,186.70262,M+H
NPA000343,3-epi-radicinin,237.0758,156.94063,M+H
NPA000344,Cyclipostin F,459.2506,205.04884,M+H
NPA000345,Phomacin A,432.2745,211.9783,M+H
NPA000346,Chetracin D,789.1863,245.0461,M+H
NPA000347,Unguisin C,775.4138,266.45837,M+H
NPA000348,Pheofungin B,344.0587,178.95415,M+H
NPA000349,Heliquinomycin,699.1556,251.17229,M+H
NPA000350,Gymnastatin B,488.1965,224.22284,M+H
NPA000351,Aeruginosin GE730,731.1762,241.20366,M+H
NPA000352,Phomoenamide,285.1809,170.29678,M+H
NPA000353,Mangromicin A,411.2378,201.19765,M+H
NPA000354,Coeligiosin A,613.484,263.51797,M+H
NPA000355,Kasumigamide,787.3774,265.77573,M+H
NPA000356,Koninginin G,303.2166,180.89362,M+H
NPA000357,"1,3-Dimethoxybenzene",139.0754,128.5019,M+H
NPA000358,Quercinic acid C,503.3731,221.3332,M+H
NPA000359,Mixirin B,1001.5051,309.59286,M+H
NPA000360,TMC-95 C,679.2722,260.5635,M+H
NPA000361,Citreodiol,215.1278,153.36768,M+H
NPA000362,5-butyl-4-methoxy-6-methyl-2H-pyran-2-one,197.1172,147.43393,M+H
NPA000363,Cladosporol C,339.1227,184.73009,M+H
NPA000364,Ustilagic acid C,509.2957,202.5724,M+H
NPA000365,10-epi-sclerotiamide,464.218,213.82025,M+H
NPA000366,6-epi-Ophiobolin A,401.2687,203.24806,M+H
NPA000367,6'-N-Methylbutirosin B,570.2981,221.23001,M+H
NPA000368,"1,4,6-trihydroxy-8-pentyl-9,10-anthraquinone",327.1227,186.3799,M+H
NPA000369,Creolophin D,249.1122,171.17467,M+H
NPA000370,Leptosphaerin C,275.0914,164.01462,M+H
NPA000371,Preussomerin EG2,367.0813,187.7824,M+H
NPA000372,Palmarumycin C12,351.0863,184.35289,M+H
NPA000373,Neomaclafungin A,781.5461,255.33026,M+H
NPA000374,Jamaicamide B,489.2515,209.01195,M+H
NPA000375,Nigerapyrone H,309.1485,178.4891,M+H
NPA000376,Hesseltin F,429.2272,205.3723,M+H
NPA000377,(6Z)-9'-apo-rhodoxanthinone,417.2788,216.4078,M+H
NPA000378,"4,6-dichloro-3,7-dihydroxy-1,9-dimethyldibenzofuran",297.008,168.39554,M+H
NPA000379,Kobifuranone A,197.1172,150.28992,M+H
NPA000380,Frigocyclinone,464.2068,215.33475,M+H
NPA000381,Cyclo-(L-Phe-L-Leu1-L-Leu2-L-Leu3-L-Ile),600.412,248.14952,M+H
NPA000382,Ralfuranone B,267.1016,160.18442,M+H
NPA000383,Enokipodin F,251.1642,163.34332,M+H
NPA000384,Anserinone B,211.0965,152.11946,M+H
NPA000385,"3,4-dihydro-3,4,8-trihydroxy-1(2H)-naphthalenone",195.0652,153.95409,M+H
NPA000386,Mollisinol A,327.253,192.80214,M+H
NPA000387,Shengjimycin C2,941.5581,297.34,M+H
NPA000388,6-acetylmonodethiogliotoxin,337.0853,167.02429,M+H
NPA000389,Orirubenone A,307.1176,174.24321,M+H
NPA000390,Not named,236.1645,163.39268,M+H
NPA000391,"N-trans-cinnamoyl 2-amino-3a,4,5,6,7,8,9,10,11,12,13,13a-dodecahydrocyclododeca[d]oxazole",355.238,200.44829,M+H
NPA000392,Tenuecyclamide D,523.0887,211.98116,M+H
NPA000393,Tetrangulol,305.0809,172.5287,M+H
NPA000394,Marihysin A,1043.552,320.3295,M+H
NPA000395,Lolicine-B 11-O-propionate,674.4052,248.77568,M+H
NPA000396,"Isopimara-8,15-diene",273.2577,170.66145,M+H
NPA000397,Oxepinamide C,362.1711,196.04889,M+H
NPA000398,Cytochalasin B,480.2745,223.93538,M+H
NPA000399,Cochlioquinol II,549.3422,226.31827,M+H
NPA000400,"6-deoxy-13-hydroxy-8,11-dionedihydrogranaticin B",545.2018,223.32137,M+H
NPA000401,Liposidomycin X-(III),916.4398,285.15958,M+H
NPA000402,Not named,206.0812,145.99702,M+H
NPA000403,(E)-pseudoxylallemycin F,703.4066,285.3864,M+H
NPA000404,"N-acetyl-3-amino-3,6-dideoxy-d-galactose",206.1023,149.64058,M+H
NPA000405,Astellolide E,267.1591,165.94176,M+H
NPA000406,Beta-Amyrin,427.3935,217.06096,M+H
NPA000407,Apramide C,979.6049,311.82245,M+H
NPA000408,Allobeauvericin B,812.4481,271.42947,M+H
NPA000409,Bezerramycin A,286.0823,167.70554,M+H
NPA000410,Saponaroxin C,397.1493,191.48033,M+H
NPA000411,Sanguinone A,299.1139,170.38591,M+H
NPA000412,Dynemicin A,538.1133,214.18076,M+H
NPA000413,Kolokoside A,651.4103,245.7093,M+H
NPA000414,Rapamycin,914.5624,301.76382,M+H
NPA000415,"(6a)-21,21-O-dihydroophiobolin G",369.2788,193.23926,M+H
NPA000416,Pyrenocine J,211.0965,154.03514,M+H
NPA000417,GGL.4,703.5355,275.27594,M+H
NPA000418,4-Hydroxybenzoyl 6-Deoxy-α-L-talopyranoside,285.0969,164.77571,M+H
NPA000419,NW-G03,755.3391,258.67545,M+H
NPA000420,(-)-applanatumol L,337.1282,173.92693,M+H
NPA000421,Sterenin G,371.1489,185.03838,M+H
NPA000422,"3R*,4S*-1-hydroxy-3-isobutyl-4-[4-(3-methyl-2-butenyloxy)phenyl]pyrrolidine-2,5-dione",332.1857,190.32776,M+H
NPA000423,Myxovirescin A1,624.447,245.64005,M+H
NPA000424,HS071,227.1278,150.22423,M+H
NPA000425,Not named,1013.5666,295.02213,M+H
NPA000426,"Pimara-7,15-dien-3-beta-ol diterpene",289.2526,175.99133,M+H
NPA000427,(±)-hemi-oxanthromicin A,329.102,179.59825,M+H
NPA000428,Monaphilone C,337.2374,193.51225,M+H
NPA000429,7-Hydroxy-8-methoxytrypethelone,303.1227,179.40266,M+H
NPA000430,(E)-lowdenic acid,449.2898,215.567,M+H
NPA000431,Lactoquinomycin,458.181,219.6919,M+H
NPA000432,Epothilone C4,464.2465,227.44328,M+H
NPA000433,Decaspirone G,337.1071,180.6536,M+H
NPA000434,Pterulamide VI,801.5485,292.07187,M+H
