NPAID,Name,m/z,CCS,Adduct,URL
NPA000035,Talapolyester C,499.1821,216.81966,M-H,https://www.npatlas.org/explore/compounds/NPA000035
NPA000036,Amamistatin B,714.3719,263.95346,M-H,https://www.npatlas.org/explore/compounds/NPA000036
NPA000037,Lajollamycin,686.3658,253.8814,M-H,https://www.npatlas.org/explore/compounds/NPA000037
NPA000038,AHB-6-Methylneamine,436.2413,192.63893,M-H,https://www.npatlas.org/explore/compounds/NPA000038
NPA000039,Formycin B,267.0735,155.86945,M-H,https://www.npatlas.org/explore/compounds/NPA000039
NPA000041,Not named,195.1026,151.63454,M-H,https://www.npatlas.org/explore/compounds/NPA000041
NPA000042,Nocazine C,335.1401,185.49837,M-H,https://www.npatlas.org/explore/compounds/NPA000042
NPA000043,Agripilol A,271.1915,165.91463,M-H,https://www.npatlas.org/explore/compounds/NPA000043
NPA000044,Not named,291.0874,173.90582,M-H,https://www.npatlas.org/explore/compounds/NPA000044
NPA000045,Z-4-2,202.0509,137.23216,M-H,https://www.npatlas.org/explore/compounds/NPA000045
NPA000046,Maltophilin,509.2657,223.67038,M-H,https://www.npatlas.org/explore/compounds/NPA000046
NPA000047,Lasalocid (X 537 A),589.3746,240.93126,M-H,https://www.npatlas.org/explore/compounds/NPA000047
NPA000048,Pestalamide C,271.1088,161.70308,M-H,https://www.npatlas.org/explore/compounds/NPA000048
NPA000049,Not named,503.1195,219.08946,M-H,https://www.npatlas.org/explore/compounds/NPA000049
NPA000050,ƞ-Isorhodomycinone,407.0772,200.75972,M-H,https://www.npatlas.org/explore/compounds/NPA000050
NPA000051,Vermelhotin,216.0666,154.8885,M-H,https://www.npatlas.org/explore/compounds/NPA000051
NPA000052,Varioxiranediol,279.1238,174.67946,M-H,https://www.npatlas.org/explore/compounds/NPA000052
NPA000053,Xentrivalpeptide C,796.4614,277.51813,M-H,https://www.npatlas.org/explore/compounds/NPA000053
NPA000054,"[Asp3, ADMAdda5, Dhb7] microcystin RR",1050.5378,304.4675,M-H,https://www.npatlas.org/explore/compounds/NPA000054
NPA000055,Oxachelin,634.2478,234.4009,M-H,https://www.npatlas.org/explore/compounds/NPA000055
NPA000056,Brasilane A,424.2704,207.57997,M-H,https://www.npatlas.org/explore/compounds/NPA000056
NPA000057,Terrecoumarin C,243.1026,154.95323,M-H,https://www.npatlas.org/explore/compounds/NPA000057
NPA000058,GE23077 A1/A2,802.3224,255.1231,M-H,https://www.npatlas.org/explore/compounds/NPA000058
NPA000059,Farneside A,465.2606,215.39967,M-H,https://www.npatlas.org/explore/compounds/NPA000059
NPA000060,Isoaurostatin,253.0506,161.17137,M-H,https://www.npatlas.org/explore/compounds/NPA000060
NPA000061,BCA 1,365.2333,185.96228,M-H,https://www.npatlas.org/explore/compounds/NPA000061
NPA000062,7a-acetoxy-15-methoxy-10-O-methyl-deacetyldihydrobotrydial,371.2075,190.20563,M-H,https://www.npatlas.org/explore/compounds/NPA000062
NPA000063,Aspochalasin O,456.2755,224.64232,M-H,https://www.npatlas.org/explore/compounds/NPA000063
NPA000064,EH21A14,503.2763,230.015,M-H,https://www.npatlas.org/explore/compounds/NPA000064
NPA000065,Kipukasin I,407.1096,191.25674,M-H,https://www.npatlas.org/explore/compounds/NPA000065
NPA000066,6-deoxyaflaquinolone D,268.0979,159.28914,M-H,https://www.npatlas.org/explore/compounds/NPA000066
NPA000067,Conioxepinol B,303.051,168.11562,M-H,https://www.npatlas.org/explore/compounds/NPA000067
NPA000068,JBIR-82,493.3184,226.11255,M-H,https://www.npatlas.org/explore/compounds/NPA000068
NPA000069,"(5R,5aS,9R,9aR,9bR)-9,9b-dihydroxy-6,6,9a-trimethyl-1-oxo-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate",379.2126,193.25813,M-H,https://www.npatlas.org/explore/compounds/NPA000069
NPA000070,Etrogol,205.1234,146.34486,M-H,https://www.npatlas.org/explore/compounds/NPA000070
NPA000071,Inflatin B,483.2752,216.71283,M-H,https://www.npatlas.org/explore/compounds/NPA000071
NPA000072,Pyramidamycin B,182.0459,141.91249,M-H,https://www.npatlas.org/explore/compounds/NPA000072
NPA000073,5-Chloro-w-hydroxyemodin,319.0015,164.93324,M-H,https://www.npatlas.org/explore/compounds/NPA000073
NPA000074,Laxaphycin B,1393.8312,363.82355,M-H,https://www.npatlas.org/explore/compounds/NPA000074
NPA000075,Stachybocin E,823.4903,271.89474,M-H,https://www.npatlas.org/explore/compounds/NPA000075
NPA000076,Xanthoquinodin A3,571.1246,221.12509,M-H,https://www.npatlas.org/explore/compounds/NPA000076
NPA000077,(-)-acetodalmanol B,553.1504,241.6102,M-H,https://www.npatlas.org/explore/compounds/NPA000077
NPA000078,Clavirolide A,331.1915,178.41754,M-H,https://www.npatlas.org/explore/compounds/NPA000078
NPA000079,25-Methylpisolactone,483.3843,217.40865,M-H,https://www.npatlas.org/explore/compounds/NPA000079
NPA000080,Not named,424.2857,208.29756,M-H,https://www.npatlas.org/explore/compounds/NPA000080
NPA000081,Macrosphelide D,341.1242,179.59999,M-H,https://www.npatlas.org/explore/compounds/NPA000081
NPA000082,Communesin E,439.2503,202.66447,M-H,https://www.npatlas.org/explore/compounds/NPA000082
NPA000083,Oxydifficidin,559.283,221.88481,M-H,https://www.npatlas.org/explore/compounds/NPA000083
NPA000084,Talaroketal A,625.1715,247.84254,M-H,https://www.npatlas.org/explore/compounds/NPA000084
NPA000085,Pestalafuranone H,207.0663,141.56396,M-H,https://www.npatlas.org/explore/compounds/NPA000085
NPA000086,Boletinin E,403.249,191.2004,M-H,https://www.npatlas.org/explore/compounds/NPA000086
NPA000087,Aranciamycin anhydride,723.193,255.1669,M-H,https://www.npatlas.org/explore/compounds/NPA000087
NPA000088,Blazeispirol X,437.2697,218.53917,M-H,https://www.npatlas.org/explore/compounds/NPA000088
NPA000089,Shearinine E,598.3174,244.2636,M-H,https://www.npatlas.org/explore/compounds/NPA000089
NPA000090,Oxalicumone D,409.0599,185.88988,M-H,https://www.npatlas.org/explore/compounds/NPA000090
NPA000091,Cyclonerodiol,239.2016,159.68083,M-H,https://www.npatlas.org/explore/compounds/NPA000091
NPA000092,"2-(1',5'-heptadienyl)-3,6-dihydroxy-5-(3""-methyl-2""-butenyl)benzaldehyde",299.1652,177.7888,M-H,https://www.npatlas.org/explore/compounds/NPA000092
NPA000093,6-hydroxychrolactomycin,447.2024,209.59291,M-H,https://www.npatlas.org/explore/compounds/NPA000093
NPA000094,"(4S)-2,4-dimethyl-5-oxo-2,5-dihydrofuran-3-carboxylic acid",155.035,132.07625,M-H,https://www.npatlas.org/explore/compounds/NPA000094
NPA000095,Penicibrocazine C,453.1159,197.96715,M-H,https://www.npatlas.org/explore/compounds/NPA000095
NPA000096,Vanillobiocin,657.1493,244.37273,M-H,https://www.npatlas.org/explore/compounds/NPA000096
NPA000097,Ascomycone A,301.0717,171.50633,M-H,https://www.npatlas.org/explore/compounds/NPA000097
NPA000098,Koninginin J,295.1551,169.77455,M-H,https://www.npatlas.org/explore/compounds/NPA000098
NPA000099,Preussidone,353.103,187.7243,M-H,https://www.npatlas.org/explore/compounds/NPA000099
NPA000100,Hebelophyllene C,265.1445,176.82173,M-H,https://www.npatlas.org/explore/compounds/NPA000100
NPA000101,Allocyathin A4,331.1915,184.0736,M-H,https://www.npatlas.org/explore/compounds/NPA000101
NPA000102,Methylspinazarin,235.0248,145.58717,M-H,https://www.npatlas.org/explore/compounds/NPA000102
NPA000103,Chloriolin C,441.2049,208.42303,M-H,https://www.npatlas.org/explore/compounds/NPA000103
NPA000104,Cohaerin B,453.1919,204.42625,M-H,https://www.npatlas.org/explore/compounds/NPA000104
NPA000105,Epothilone E,508.2374,228.68881,M-H,https://www.npatlas.org/explore/compounds/NPA000105
NPA000106,Petchiether A,359.1864,185.33122,M-H,https://www.npatlas.org/explore/compounds/NPA000106
NPA000107,Oxaloterpin D,358.2387,189.87668,M-H,https://www.npatlas.org/explore/compounds/NPA000107
NPA000108,Sesquicillin B,499.2701,215.44908,M-H,https://www.npatlas.org/explore/compounds/NPA000108
NPA000109,SCH 64879,897.6672,294.85974,M-H,https://www.npatlas.org/explore/compounds/NPA000109
NPA000110,Not named,762.3023,264.66675,M-H,https://www.npatlas.org/explore/compounds/NPA000110
NPA000111,Armochaetoglobin N,510.2762,224.6148,M-H,https://www.npatlas.org/explore/compounds/NPA000111
NPA000112,(-)-ganoapplanatumine A,256.0979,159.44933,M-H,https://www.npatlas.org/explore/compounds/NPA000112
NPA000113,Leptofuranin B,525.3585,231.55669,M-H,https://www.npatlas.org/explore/compounds/NPA000113
NPA000114,Parmosidone A,373.0565,179.5978,M-H,https://www.npatlas.org/explore/compounds/NPA000114
NPA000115,Hinakurin,565.114,226.95387,M-H,https://www.npatlas.org/explore/compounds/NPA000115
NPA000116,Carzinophilin,638.1991,232.6992,M-H,https://www.npatlas.org/explore/compounds/NPA000116
NPA000117,Arisugacin F,437.2333,209.20471,M-H,https://www.npatlas.org/explore/compounds/NPA000117
NPA000118,UCF-116-A,647.3338,261.0686,M-H,https://www.npatlas.org/explore/compounds/NPA000118
NPA000120,Ushikulide A,707.4739,266.5404,M-H,https://www.npatlas.org/explore/compounds/NPA000120
NPA000121,Sporidesmin B,456.046,204.19028,M-H,https://www.npatlas.org/explore/compounds/NPA000121
NPA000122,Dehydrofusaric acid,176.0717,137.51225,M-H,https://www.npatlas.org/explore/compounds/NPA000122
NPA000123,Zaragozic acid D2,705.3128,248.89503,M-H,https://www.npatlas.org/explore/compounds/NPA000123
NPA000124,Luteusin D,459.158,215.61395,M-H,https://www.npatlas.org/explore/compounds/NPA000124
NPA000125,Sulphureuine G,255.1965,163.37564,M-H,https://www.npatlas.org/explore/compounds/NPA000125
NPA000126,Syringolin H,508.314,222.2346,M-H,https://www.npatlas.org/explore/compounds/NPA000126
NPA000127,Isocycloheximide,280.1554,164.45537,M-H,https://www.npatlas.org/explore/compounds/NPA000127
NPA000128,Panglimycin E,341.103,176.23482,M-H,https://www.npatlas.org/explore/compounds/NPA000128
NPA000129,Hypocrenone A,257.1183,154.46123,M-H,https://www.npatlas.org/explore/compounds/NPA000129
NPA000130,Rubiginosin B,401.1242,193.1426,M-H,https://www.npatlas.org/explore/compounds/NPA000130
NPA000131,Platensimycin A6 methyl ester,472.1977,205.11452,M-H,https://www.npatlas.org/explore/compounds/NPA000131
NPA000132,Prolipyrone B,209.0455,148.18626,M-H,https://www.npatlas.org/explore/compounds/NPA000132
NPA000133,Penicillither,395.0539,186.24669,M-H,https://www.npatlas.org/explore/compounds/NPA000133
NPA000134,(12R)-12-hydroxymonocerin,323.1136,187.80771,M-H,https://www.npatlas.org/explore/compounds/NPA000134
NPA000135,Clavaminic acid,197.0568,145.26573,M-H,https://www.npatlas.org/explore/compounds/NPA000135
NPA000136,Inoterpene E,473.3636,228.21855,M-H,https://www.npatlas.org/explore/compounds/NPA000136
NPA000137,VM-55599,348.2081,188.73424,M-H,https://www.npatlas.org/explore/compounds/NPA000137
NPA000138,F-11334-B1,193.087,144.43977,M-H,https://www.npatlas.org/explore/compounds/NPA000138
NPA000139,Petrobactin sulfonate,783.2876,251.62091,M-H,https://www.npatlas.org/explore/compounds/NPA000139
NPA000140,Tensyuic acid C,271.1187,162.30347,M-H,https://www.npatlas.org/explore/compounds/NPA000140
NPA000141,SW-163B,655.2508,251.29134,M-H,https://www.npatlas.org/explore/compounds/NPA000141
NPA000142,Phomadecalin B,305.1394,169.59282,M-H,https://www.npatlas.org/explore/compounds/NPA000142
NPA000143,Terricollene B,337.1293,175.83023,M-H,https://www.npatlas.org/explore/compounds/NPA000143
NPA000144,6’-dehydroxytrichoverrin B,515.265,224.51656,M-H,https://www.npatlas.org/explore/compounds/NPA000144
NPA000145,Flagranone A,455.2075,210.61494,M-H,https://www.npatlas.org/explore/compounds/NPA000145
NPA000146,Oblongolide O,235.1339,154.51938,M-H,https://www.npatlas.org/explore/compounds/NPA000146
NPA000147,Sterenin M,496.1977,215.34596,M-H,https://www.npatlas.org/explore/compounds/NPA000147
NPA000148,Indole-3-acetyl-epsilon-L-lysine,302.151,163.4159,M-H,https://www.npatlas.org/explore/compounds/NPA000148
NPA000149,Clonoamide,250.1812,165.01735,M-H,https://www.npatlas.org/explore/compounds/NPA000149
NPA000150,Paecilomycin K,363.1449,190.9112,M-H,https://www.npatlas.org/explore/compounds/NPA000150
NPA000151,Epi-isozizaene,203.1805,152.37614,M-H,https://www.npatlas.org/explore/compounds/NPA000151
NPA000152,Phomopsin C,335.1864,191.95207,M-H,https://www.npatlas.org/explore/compounds/NPA000152
NPA000153,Dictyoquinazol A,311.1037,174.44109,M-H,https://www.npatlas.org/explore/compounds/NPA000153
NPA000154,Corynechromone A,307.1187,174.59087,M-H,https://www.npatlas.org/explore/compounds/NPA000154
NPA000155,Hyapyrroline A,566.3487,226.19609,M-H,https://www.npatlas.org/explore/compounds/NPA000155
NPA000156,Venezueline G,194.0822,138.79857,M-H,https://www.npatlas.org/explore/compounds/NPA000156
NPA000157,Hamigeromycin D,393.1555,191.55446,M-H,https://www.npatlas.org/explore/compounds/NPA000157
NPA000158,Xylaripyrone A,169.0506,132.23082,M-H,https://www.npatlas.org/explore/compounds/NPA000158
NPA000159,Cyclo(D-Tyr-D-Pro),259.1088,163.80994,M-H,https://www.npatlas.org/explore/compounds/NPA000159
NPA000160,8-Hydroxy-4-methoxyquinoline-2-carbothioic S-acid,234.023,146.92657,M-H,https://www.npatlas.org/explore/compounds/NPA000160
NPA000161,Obionin A,355.1551,203.64458,M-H,https://www.npatlas.org/explore/compounds/NPA000161
NPA000162,Penicillactone B,531.1872,230.85773,M-H,https://www.npatlas.org/explore/compounds/NPA000162
NPA000163,21-O-Deacetylcytochalasin Q,464.2442,214.18767,M-H,https://www.npatlas.org/explore/compounds/NPA000163
NPA000164,Nonylprodigiosin,362.2238,197.00285,M-H,https://www.npatlas.org/explore/compounds/NPA000164
NPA000165,Not named,262.9883,152.62315,M-H,https://www.npatlas.org/explore/compounds/NPA000165
NPA000166,Sterpurol A,235.1703,150.14583,M-H,https://www.npatlas.org/explore/compounds/NPA000166
NPA000167,MBA 028-24 A,1080.6588,319.67224,M-H,https://www.npatlas.org/explore/compounds/NPA000167
NPA000168,Mucidone,179.1077,143.31633,M-H,https://www.npatlas.org/explore/compounds/NPA000168
NPA000169,"(3S)‐8‐[(6‐O‐acetyl‐β‐D‐glucopyranosyl)oxy]‐3‐[(1E,3E,5E)‐hepta‐1,3,5‐trienyl]‐3,4‐dihydro‐6‐methoxy‐5‐methyl‐1H‐2‐benzopyran‐1‐one",503.1922,216.95705,M-H,https://www.npatlas.org/explore/compounds/NPA000169
NPA000170,Not named,1122.6092,328.27478,M-H,https://www.npatlas.org/explore/compounds/NPA000170
NPA000171,(+)-epoxyserinone B,225.0768,154.60991,M-H,https://www.npatlas.org/explore/compounds/NPA000171
NPA000172,Ganoderic acid D,517.3171,222.50443,M-H,https://www.npatlas.org/explore/compounds/NPA000172
NPA000173,Arthrofactin,1352.7934,364.7319,M-H,https://www.npatlas.org/explore/compounds/NPA000173
NPA000174,Aspereline C,921.5779,304.3894,M-H,https://www.npatlas.org/explore/compounds/NPA000174
NPA000175,Aschernaphthopyrone A,515.1347,215.14734,M-H,https://www.npatlas.org/explore/compounds/NPA000175
NPA000176,Punctaporonin H,309.1707,176.47636,M-H,https://www.npatlas.org/explore/compounds/NPA000176
NPA000177,Conidiogenone D,317.2122,182.37096,M-H,https://www.npatlas.org/explore/compounds/NPA000177
NPA000178,Sch 50676,333.0768,185.3651,M-H,https://www.npatlas.org/explore/compounds/NPA000178
NPA000179,Taveuniamide D,452.0359,187.81886,M-H,https://www.npatlas.org/explore/compounds/NPA000179
NPA000180,Massetolide H,1152.7137,340.50662,M-H,https://www.npatlas.org/explore/compounds/NPA000180
NPA000181,Fuzanin D,218.1186,158.31456,M-H,https://www.npatlas.org/explore/compounds/NPA000181
NPA000182,"2,3-dihydroxypropyl (Z)-10-methyloctadec-9-enoate",369.301,203.38417,M-H,https://www.npatlas.org/explore/compounds/NPA000182
NPA000183,SCH-64877,767.1806,268.12134,M-H,https://www.npatlas.org/explore/compounds/NPA000183
NPA000184,Guineamide A,612.2861,239.36162,M-H,https://www.npatlas.org/explore/compounds/NPA000184
NPA000185,"1,4,6b,7,10-pentahydroxy-1,2,6b,7,8,12b-hexahydroperylene-3,9-dione",367.0823,189.32246,M-H,https://www.npatlas.org/explore/compounds/NPA000185
NPA000186,Calocerin C,236.012,152.38205,M-H,https://www.npatlas.org/explore/compounds/NPA000186
NPA000187,"5α,8α-epidioxy-24(R)-methylcholesta-6,22-dien-3β-ol",429.3374,214.93652,M-H,https://www.npatlas.org/explore/compounds/NPA000187
NPA000188,Carbazomycin B,240.103,155.67918,M-H,https://www.npatlas.org/explore/compounds/NPA000188
NPA000189,"5-hydroxy-2,7-dimethoxy-8-methylnaphthoquinone",247.0612,157.33012,M-H,https://www.npatlas.org/explore/compounds/NPA000189
NPA000190,Paecilocin D,261.1496,172.52124,M-H,https://www.npatlas.org/explore/compounds/NPA000190
NPA000191,Scopararane F,349.202,171.57257,M-H,https://www.npatlas.org/explore/compounds/NPA000191
NPA000192,Kigamicin A,664.2035,241.63641,M-H,https://www.npatlas.org/explore/compounds/NPA000192
NPA000193,Menaquinone MK-7,647.4833,243.72188,M-H,https://www.npatlas.org/explore/compounds/NPA000193
NPA000194,Neomangicol C,415.249,192.82869,M-H,https://www.npatlas.org/explore/compounds/NPA000194
NPA000195,Salinipostin A,471.2881,209.57033,M-H,https://www.npatlas.org/explore/compounds/NPA000195
NPA000196,Maristachone B,211.0976,146.14687,M-H,https://www.npatlas.org/explore/compounds/NPA000196
NPA000197,Maltepolide B,513.2858,231.2255,M-H,https://www.npatlas.org/explore/compounds/NPA000197
NPA000198,Actinomycin Y2,1305.5564,351.07083,M-H,https://www.npatlas.org/explore/compounds/NPA000198
NPA000199,Deoxyneo-beta-hydroxyaspergillic acid,223.1452,161.6913,M-H,https://www.npatlas.org/explore/compounds/NPA000199
NPA000200,3'-O-[beta-D-galactopyranosyl-(1-->4)-beta-D-galactopyranosyl]-5-bromouridine,645.0784,211.83412,M-H,https://www.npatlas.org/explore/compounds/NPA000200
NPA000201,Nisamycin,424.1765,202.94943,M-H,https://www.npatlas.org/explore/compounds/NPA000201
NPA000202,"CJ-19,784",420.9928,189.16872,M-H,https://www.npatlas.org/explore/compounds/NPA000202
NPA000203,Neovasipyrone B,325.1656,185.16785,M-H,https://www.npatlas.org/explore/compounds/NPA000203
NPA000204,Hirsutenol C,249.1496,158.23918,M-H,https://www.npatlas.org/explore/compounds/NPA000204
NPA000205,Hexatenuin A,567.3327,249.03601,M-H,https://www.npatlas.org/explore/compounds/NPA000205
NPA000206,Petromurin A,511.2238,223.21135,M-H,https://www.npatlas.org/explore/compounds/NPA000206
NPA000207,Sassafrin C,465.1919,215.58043,M-H,https://www.npatlas.org/explore/compounds/NPA000207
NPA000208,Prejadomycin 2-carboxylate,367.0823,179.43439,M-H,https://www.npatlas.org/explore/compounds/NPA000208
NPA000209,Leiwansterol A,459.348,217.51053,M-H,https://www.npatlas.org/explore/compounds/NPA000209
NPA000211,"5-Hydroxy-3,4,5-trimethylfuran-2(5H)-one",141.0557,131.1578,M-H,https://www.npatlas.org/explore/compounds/NPA000211
NPA000212,35‐O‐α‐altruronopyranosylbacteriohopanetetrol,721.4896,255.96129,M-H,https://www.npatlas.org/explore/compounds/NPA000212
NPA000213,Cytochalasin Z19,526.2446,220.5201,M-H,https://www.npatlas.org/explore/compounds/NPA000213
NPA000214,Spirotryprostatin A,394.1772,192.29253,M-H,https://www.npatlas.org/explore/compounds/NPA000214
NPA000215,Ascosteroside,645.4008,240.72556,M-H,https://www.npatlas.org/explore/compounds/NPA000215
NPA000216,Pestaloficiol V,259.1339,159.44872,M-H,https://www.npatlas.org/explore/compounds/NPA000216
NPA000217,Tenelate B,485.2181,209.8885,M-H,https://www.npatlas.org/explore/compounds/NPA000217
NPA000218,Agglomerin B,291.1602,174.96202,M-H,https://www.npatlas.org/explore/compounds/NPA000218
NPA000219,Irlactin E,249.1496,168.1818,M-H,https://www.npatlas.org/explore/compounds/NPA000219
NPA000220,9-Hydroxylarone,237.1132,160.0771,M-H,https://www.npatlas.org/explore/compounds/NPA000220
NPA000221,Spirangien G,717.4583,262.0544,M-H,https://www.npatlas.org/explore/compounds/NPA000221
NPA000222,Luminacin G2,463.2337,219.92471,M-H,https://www.npatlas.org/explore/compounds/NPA000222
NPA000223,Erythrin,421.114,191.34157,M-H,https://www.npatlas.org/explore/compounds/NPA000223
NPA000224,Trichoaurantianolide D,389.1969,190.63777,M-H,https://www.npatlas.org/explore/compounds/NPA000224
NPA000225,"2′,3′,4′′-triacetoxy-3,4,5′,6′-tetrahydroxy-p-terphenyl",467.0983,197.23903,M-H,https://www.npatlas.org/explore/compounds/NPA000225
NPA000226,Pullularin F,707.3661,252.89229,M-H,https://www.npatlas.org/explore/compounds/NPA000226
NPA000227,methyl 1-(1-b-Glucopyranosyl)-1H-indole-3-acetate,350.1245,172.16081,M-H,https://www.npatlas.org/explore/compounds/NPA000227
NPA000228,Tirandamycin G,420.2028,201.21637,M-H,https://www.npatlas.org/explore/compounds/NPA000228
NPA000229,16-deoxo-paraherquamide J,476.2555,214.54018,M-H,https://www.npatlas.org/explore/compounds/NPA000229
NPA000230,Saponaceolide O,515.3014,235.22466,M-H,https://www.npatlas.org/explore/compounds/NPA000230
NPA000232,Beticolin 0,621.0805,241.80882,M-H,https://www.npatlas.org/explore/compounds/NPA000232
NPA000233,2-[4'-(methylamino)phenyl]quinazolin-4(3H)-one,250.0986,158.00644,M-H,https://www.npatlas.org/explore/compounds/NPA000233
NPA000234,Abyssomicin D,347.15,192.93044,M-H,https://www.npatlas.org/explore/compounds/NPA000234
NPA000235,Lucidulactone A,253.0717,161.66945,M-H,https://www.npatlas.org/explore/compounds/NPA000235
NPA000236,Bacilosarcin C,493.2191,219.76707,M-H,https://www.npatlas.org/explore/compounds/NPA000236
NPA000237,Stachybotrin A,400.2129,193.76712,M-H,https://www.npatlas.org/explore/compounds/NPA000237
NPA000238,SMTP-7,867.4801,288.4484,M-H,https://www.npatlas.org/explore/compounds/NPA000238
NPA000239,(-)-applanatumol K,321.098,169.09175,M-H,https://www.npatlas.org/explore/compounds/NPA000239
NPA000240,Not named,113.0608,115.77179,M-H,https://www.npatlas.org/explore/compounds/NPA000240
NPA000241,Guanacastepene K,387.1813,197.48695,M-H,https://www.npatlas.org/explore/compounds/NPA000241
NPA000242,2-methyl-phenol,107.0502,122.974396,M-H,https://www.npatlas.org/explore/compounds/NPA000242
NPA000243,(±)-hemi-oxanthromicin B,341.103,187.40837,M-H,https://www.npatlas.org/explore/compounds/NPA000243
NPA000244,6-(3'-methylbuten-2'-yl) isatin,214.0873,149.52943,M-H,https://www.npatlas.org/explore/compounds/NPA000244
NPA000245,Fudecalone,249.1496,162.25414,M-H,https://www.npatlas.org/explore/compounds/NPA000245
NPA000246,Phomodione,389.1242,187.40013,M-H,https://www.npatlas.org/explore/compounds/NPA000246
NPA000247,"methyl 3,5-dichloro-4-methoxybenzoate",232.9777,145.99507,M-H,https://www.npatlas.org/explore/compounds/NPA000247
NPA000248,Melanoxadin,168.0666,134.95874,M-H,https://www.npatlas.org/explore/compounds/NPA000248
NPA000249,(2S)-5-acetamidopentyl 2-hydroxypropanoate,216.1241,150.68019,M-H,https://www.npatlas.org/explore/compounds/NPA000249
NPA000250,Ripostatin B,495.2752,214.05005,M-H,https://www.npatlas.org/explore/compounds/NPA000250
NPA000251,"7RS,11RS,2H-3,4,4a,5a,7,8-hexahydro-pyrano[2,3-b]cyclopenta[d]pyran-9(6H)-one",193.087,149.74324,M-H,https://www.npatlas.org/explore/compounds/NPA000251
NPA000252,Arthropsatriol B,225.1132,155.67763,M-H,https://www.npatlas.org/explore/compounds/NPA000252
NPA000253,Chaxamycin B,622.3021,238.7185,M-H,https://www.npatlas.org/explore/compounds/NPA000253
