NPAID,Name,m/z,CCS,Adduct,URL
NPA000027,Beauvericin E,758.3987,268.4833,M+Na,https://www.npatlas.org/explore/compounds/NPA000027
NPA000028,"2,3-dihydroxy-N-methoxy-6-propylbenzamide",248.0893,155.88152,M+Na,https://www.npatlas.org/explore/compounds/NPA000028
NPA000029,Daryamide C,341.1472,182.43733,M+Na,https://www.npatlas.org/explore/compounds/NPA000029
NPA000030,"3α,6β,16β,17,18-pentahydroxyaphidicolane",377.2298,195.79875,M+Na,https://www.npatlas.org/explore/compounds/NPA000030
NPA000031,Quinine,347.173,185.79276,M+Na,https://www.npatlas.org/explore/compounds/NPA000031
NPA000032,Cyclo(4-hydroxy-R-Pro-S-Leu),249.1209,165.40047,M+Na,https://www.npatlas.org/explore/compounds/NPA000032
NPA000033,Pyrrospirone A,528.272,220.05324,M+Na,https://www.npatlas.org/explore/compounds/NPA000033
NPA000034,5-demethoxyfumagillol,275.1617,170.68263,M+Na,https://www.npatlas.org/explore/compounds/NPA000034
NPA000035,Talapolyester C,523.1786,224.83961,M+Na,https://www.npatlas.org/explore/compounds/NPA000035
NPA000036,Amamistatin B,738.3684,271.67667,M+Na,https://www.npatlas.org/explore/compounds/NPA000036
NPA000037,Lajollamycin,710.3623,261.55478,M+Na,https://www.npatlas.org/explore/compounds/NPA000037
NPA000038,AHB-6-Methylneamine,460.2378,201.94392,M+Na,https://www.npatlas.org/explore/compounds/NPA000038
NPA000039,Formycin B,291.07,164.9985,M+Na,https://www.npatlas.org/explore/compounds/NPA000039
NPA000041,Not named,219.0991,160.0122,M+Na,https://www.npatlas.org/explore/compounds/NPA000041
NPA000042,Nocazine C,359.1366,194.29573,M+Na,https://www.npatlas.org/explore/compounds/NPA000042
NPA000043,Agripilol A,295.188,174.56744,M+Na,https://www.npatlas.org/explore/compounds/NPA000043
NPA000044,Not named,315.0839,183.21935,M+Na,https://www.npatlas.org/explore/compounds/NPA000044
NPA000045,Z-4-2,226.0474,147.5995,M+Na,https://www.npatlas.org/explore/compounds/NPA000045
NPA000046,Maltophilin,533.2622,231.97847,M+Na,https://www.npatlas.org/explore/compounds/NPA000046
NPA000047,Lasalocid (X 537 A),613.3711,248.84038,M+Na,https://www.npatlas.org/explore/compounds/NPA000047
NPA000048,Pestalamide C,295.1053,170.15425,M+Na,https://www.npatlas.org/explore/compounds/NPA000048
NPA000049,Not named,527.116,226.90813,M+Na,https://www.npatlas.org/explore/compounds/NPA000049
NPA000050,ƞ-Isorhodomycinone,431.0737,209.0678,M+Na,https://www.npatlas.org/explore/compounds/NPA000050
NPA000051,Vermelhotin,240.0631,163.33965,M+Na,https://www.npatlas.org/explore/compounds/NPA000051
NPA000052,Varioxiranediol,303.1203,183.04416,M+Na,https://www.npatlas.org/explore/compounds/NPA000052
NPA000053,Xentrivalpeptide C,820.4579,285.5708,M+Na,https://www.npatlas.org/explore/compounds/NPA000053
NPA000054,"[Asp3, ADMAdda5, Dhb7] microcystin RR",1074.5343,312.34326,M+Na,https://www.npatlas.org/explore/compounds/NPA000054
NPA000055,Oxachelin,658.2443,242.65596,M+Na,https://www.npatlas.org/explore/compounds/NPA000055
NPA000056,Brasilane A,448.2669,215.01067,M+Na,https://www.npatlas.org/explore/compounds/NPA000056
NPA000057,Terrecoumarin C,267.0991,163.40437,M+Na,https://www.npatlas.org/explore/compounds/NPA000057
NPA000058,GE23077 A1/A2,826.3189,262.824,M+Na,https://www.npatlas.org/explore/compounds/NPA000058
NPA000059,Farneside A,489.2571,223.2316,M+Na,https://www.npatlas.org/explore/compounds/NPA000059
NPA000060,Isoaurostatin,277.0471,169.62253,M+Na,https://www.npatlas.org/explore/compounds/NPA000060
NPA000061,BCA 1,389.2298,196.87999,M+Na,https://www.npatlas.org/explore/compounds/NPA000061
NPA000062,7a-acetoxy-15-methoxy-10-O-methyl-deacetyldihydrobotrydial,395.204,197.63661,M+Na,https://www.npatlas.org/explore/compounds/NPA000062
NPA000063,Aspochalasin O,480.272,232.19316,M+Na,https://www.npatlas.org/explore/compounds/NPA000063
NPA000064,EH21A14,527.2728,237.68866,M+Na,https://www.npatlas.org/explore/compounds/NPA000064
NPA000065,Kipukasin I,431.1061,199.56483,M+Na,https://www.npatlas.org/explore/compounds/NPA000065
NPA000066,6-deoxyaflaquinolone D,292.0944,167.96544,M+Na,https://www.npatlas.org/explore/compounds/NPA000066
NPA000067,Conioxepinol B,327.0475,177.53055,M+Na,https://www.npatlas.org/explore/compounds/NPA000067
NPA000068,JBIR-82,517.3149,234.42064,M+Na,https://www.npatlas.org/explore/compounds/NPA000068
NPA000069,"(5R,5aS,9R,9aR,9bR)-9,9b-dihydroxy-6,6,9a-trimethyl-1-oxo-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate",403.2091,201.46114,M+Na,https://www.npatlas.org/explore/compounds/NPA000069
NPA000070,Etrogol,229.1199,156.2395,M+Na,https://www.npatlas.org/explore/compounds/NPA000070
NPA000071,Inflatin B,507.2717,224.25684,M+Na,https://www.npatlas.org/explore/compounds/NPA000071
NPA000072,Pyramidamycin B,206.0424,151.93114,M+Na,https://www.npatlas.org/explore/compounds/NPA000072
NPA000073,5-Chloro-w-hydroxyemodin,342.998,174.22481,M+Na,https://www.npatlas.org/explore/compounds/NPA000073
NPA000074,Laxaphycin B,1417.8277,371.87622,M+Na,https://www.npatlas.org/explore/compounds/NPA000074
NPA000075,Stachybocin E,847.4868,279.69055,M+Na,https://www.npatlas.org/explore/compounds/NPA000075
NPA000076,Xanthoquinodin A3,595.1211,228.76741,M+Na,https://www.npatlas.org/explore/compounds/NPA000076
NPA000077,(-)-acetodalmanol B,577.1469,249.58122,M+Na,https://www.npatlas.org/explore/compounds/NPA000077
NPA000078,Clavirolide A,355.188,186.72563,M+Na,https://www.npatlas.org/explore/compounds/NPA000078
NPA000079,25-Methylpisolactone,507.3808,225.34833,M+Na,https://www.npatlas.org/explore/compounds/NPA000079
NPA000080,Not named,448.2822,216.60564,M+Na,https://www.npatlas.org/explore/compounds/NPA000080
NPA000081,Macrosphelide D,365.1207,187.90808,M+Na,https://www.npatlas.org/explore/compounds/NPA000081
NPA000082,Communesin E,463.2468,210.1947,M+Na,https://www.npatlas.org/explore/compounds/NPA000082
NPA000083,Oxydifficidin,583.2795,230.33592,M+Na,https://www.npatlas.org/explore/compounds/NPA000083
NPA000084,Talaroketal A,649.168,255.76372,M+Na,https://www.npatlas.org/explore/compounds/NPA000084
NPA000085,Pestalafuranone H,231.0628,149.97798,M+Na,https://www.npatlas.org/explore/compounds/NPA000085
NPA000086,Boletinin E,427.2455,199.70116,M+Na,https://www.npatlas.org/explore/compounds/NPA000086
NPA000087,Aranciamycin anhydride,747.1895,262.99387,M+Na,https://www.npatlas.org/explore/compounds/NPA000087
NPA000088,Blazeispirol X,461.2662,226.58742,M+Na,https://www.npatlas.org/explore/compounds/NPA000088
NPA000089,Shearinine E,622.3139,251.99593,M+Na,https://www.npatlas.org/explore/compounds/NPA000089
NPA000090,Oxalicumone D,433.0564,194.19797,M+Na,https://www.npatlas.org/explore/compounds/NPA000090
NPA000091,Cyclonerodiol,263.1981,168.80315,M+Na,https://www.npatlas.org/explore/compounds/NPA000091
NPA000092,"2-(1',5'-heptadienyl)-3,6-dihydroxy-5-(3""-methyl-2""-butenyl)benzaldehyde",323.1617,186.4337,M+Na,https://www.npatlas.org/explore/compounds/NPA000092
NPA000093,6-hydroxychrolactomycin,471.1989,217.0236,M+Na,https://www.npatlas.org/explore/compounds/NPA000093
NPA000094,"(4S)-2,4-dimethyl-5-oxo-2,5-dihydrofuran-3-carboxylic acid",179.0315,141.49342,M+Na,https://www.npatlas.org/explore/compounds/NPA000094
NPA000095,Penicibrocazine C,477.1124,205.39787,M+Na,https://www.npatlas.org/explore/compounds/NPA000095
NPA000096,Vanillobiocin,681.1458,252.02028,M+Na,https://www.npatlas.org/explore/compounds/NPA000096
NPA000097,Ascomycone A,325.0682,180.36104,M+Na,https://www.npatlas.org/explore/compounds/NPA000097
NPA000098,Koninginin J,319.1516,179.58496,M+Na,https://www.npatlas.org/explore/compounds/NPA000098
NPA000099,Preussidone,377.0995,196.35503,M+Na,https://www.npatlas.org/explore/compounds/NPA000099
NPA000100,Hebelophyllene C,289.141,185.12985,M+Na,https://www.npatlas.org/explore/compounds/NPA000100
NPA000101,Allocyathin A4,355.188,192.38168,M+Na,https://www.npatlas.org/explore/compounds/NPA000101
NPA000102,Methylspinazarin,259.0213,154.1657,M+Na,https://www.npatlas.org/explore/compounds/NPA000102
NPA000103,Chloriolin C,465.2014,215.85376,M+Na,https://www.npatlas.org/explore/compounds/NPA000103
NPA000104,Cohaerin B,477.1884,212.73436,M+Na,https://www.npatlas.org/explore/compounds/NPA000104
NPA000105,Epothilone E,532.2339,236.11954,M+Na,https://www.npatlas.org/explore/compounds/NPA000105
NPA000106,Petchiether A,383.1829,194.69101,M+Na,https://www.npatlas.org/explore/compounds/NPA000106
NPA000107,Oxaloterpin D,382.2352,198.47997,M+Na,https://www.npatlas.org/explore/compounds/NPA000107
NPA000108,Sesquicillin B,523.2666,223.03737,M+Na,https://www.npatlas.org/explore/compounds/NPA000108
NPA000109,SCH 64879,921.6637,302.9124,M+Na,https://www.npatlas.org/explore/compounds/NPA000109
NPA000110,Not named,786.2988,272.4214,M+Na,https://www.npatlas.org/explore/compounds/NPA000110
NPA000111,Armochaetoglobin N,534.2727,232.52425,M+Na,https://www.npatlas.org/explore/compounds/NPA000111
NPA000112,(-)-ganoapplanatumine A,280.0944,168.34148,M+Na,https://www.npatlas.org/explore/compounds/NPA000112
NPA000113,Leptofuranin B,549.355,239.86479,M+Na,https://www.npatlas.org/explore/compounds/NPA000113
NPA000114,Parmosidone A,397.053,188.5107,M+Na,https://www.npatlas.org/explore/compounds/NPA000114
NPA000115,Hinakurin,589.1105,234.55647,M+Na,https://www.npatlas.org/explore/compounds/NPA000115
NPA000116,Carzinophilin,662.1956,240.24937,M+Na,https://www.npatlas.org/explore/compounds/NPA000116
NPA000117,Arisugacin F,461.2298,216.71638,M+Na,https://www.npatlas.org/explore/compounds/NPA000117
NPA000118,UCF-116-A,671.3303,268.7634,M+Na,https://www.npatlas.org/explore/compounds/NPA000118
NPA000120,Ushikulide A,731.4704,273.9711,M+Na,https://www.npatlas.org/explore/compounds/NPA000120
NPA000121,Sporidesmin B,480.0425,213.2089,M+Na,https://www.npatlas.org/explore/compounds/NPA000121
NPA000122,Dehydrofusaric acid,200.0682,149.94548,M+Na,https://www.npatlas.org/explore/compounds/NPA000122
NPA000123,Zaragozic acid D2,729.3093,256.78043,M+Na,https://www.npatlas.org/explore/compounds/NPA000123
NPA000124,Luteusin D,483.1545,223.04466,M+Na,https://www.npatlas.org/explore/compounds/NPA000124
NPA000125,Sulphureuine G,279.193,172.28032,M+Na,https://www.npatlas.org/explore/compounds/NPA000125
NPA000126,Syringolin H,532.3105,230.47035,M+Na,https://www.npatlas.org/explore/compounds/NPA000126
NPA000127,Isocycloheximide,304.1519,173.31541,M+Na,https://www.npatlas.org/explore/compounds/NPA000127
NPA000128,Panglimycin E,365.0995,184.5429,M+Na,https://www.npatlas.org/explore/compounds/NPA000128
NPA000129,Hypocrenone A,281.1148,162.91237,M+Na,https://www.npatlas.org/explore/compounds/NPA000129
NPA000130,Rubiginosin B,425.1207,201.45067,M+Na,https://www.npatlas.org/explore/compounds/NPA000130
NPA000131,Platensimycin A6 methyl ester,496.1942,213.4228,M+Na,https://www.npatlas.org/explore/compounds/NPA000131
NPA000132,Prolipyrone B,233.042,156.6374,M+Na,https://www.npatlas.org/explore/compounds/NPA000132
NPA000133,Penicillither,419.0504,195.53667,M+Na,https://www.npatlas.org/explore/compounds/NPA000133
NPA000134,(12R)-12-hydroxymonocerin,347.1101,196.1158,M+Na,https://www.npatlas.org/explore/compounds/NPA000134
NPA000135,Clavaminic acid,221.0533,153.70709,M+Na,https://www.npatlas.org/explore/compounds/NPA000135
NPA000136,Inoterpene E,497.3601,235.8931,M+Na,https://www.npatlas.org/explore/compounds/NPA000136
NPA000137,VM-55599,372.2046,197.04233,M+Na,https://www.npatlas.org/explore/compounds/NPA000137
NPA000138,F-11334-B1,217.0835,153.83376,M+Na,https://www.npatlas.org/explore/compounds/NPA000138
NPA000139,Petrobactin sulfonate,807.2841,260.6629,M+Na,https://www.npatlas.org/explore/compounds/NPA000139
NPA000140,Tensyuic acid C,295.1152,172.32405,M+Na,https://www.npatlas.org/explore/compounds/NPA000140
NPA000141,SW-163B,679.2473,258.7221,M+Na,https://www.npatlas.org/explore/compounds/NPA000141
NPA000142,Phomadecalin B,329.1359,177.90092,M+Na,https://www.npatlas.org/explore/compounds/NPA000142
NPA000143,Terricollene B,361.1258,185.86205,M+Na,https://www.npatlas.org/explore/compounds/NPA000143
NPA000144,6’-dehydroxytrichoverrin B,539.2615,232.27861,M+Na,https://www.npatlas.org/explore/compounds/NPA000144
NPA000145,Flagranone A,479.204,218.92305,M+Na,https://www.npatlas.org/explore/compounds/NPA000145
NPA000146,Oblongolide O,259.1304,163.6422,M+Na,https://www.npatlas.org/explore/compounds/NPA000146
NPA000147,Sterenin M,520.1942,223.65405,M+Na,https://www.npatlas.org/explore/compounds/NPA000147
NPA000148,Indole-3-acetyl-epsilon-L-lysine,326.1475,172.24466,M+Na,https://www.npatlas.org/explore/compounds/NPA000148
NPA000149,Clonoamide,274.1777,174.2222,M+Na,https://www.npatlas.org/explore/compounds/NPA000149
NPA000150,Paecilomycin K,387.1414,199.21927,M+Na,https://www.npatlas.org/explore/compounds/NPA000150
NPA000151,Epi-isozizaene,227.177,160.93065,M+Na,https://www.npatlas.org/explore/compounds/NPA000151
NPA000152,Phomopsin C,359.1829,200.40323,M+Na,https://www.npatlas.org/explore/compounds/NPA000152
NPA000153,Dictyoquinazol A,335.1002,183.73816,M+Na,https://www.npatlas.org/explore/compounds/NPA000153
NPA000154,Corynechromone A,331.1152,184.44919,M+Na,https://www.npatlas.org/explore/compounds/NPA000154
NPA000155,Hyapyrroline A,590.3452,234.5042,M+Na,https://www.npatlas.org/explore/compounds/NPA000155
NPA000156,Venezueline G,218.0787,148.79129,M+Na,https://www.npatlas.org/explore/compounds/NPA000156
NPA000157,Hamigeromycin D,417.152,199.86253,M+Na,https://www.npatlas.org/explore/compounds/NPA000157
NPA000158,Xylaripyrone A,193.0471,145.27908,M+Na,https://www.npatlas.org/explore/compounds/NPA000158
NPA000159,Cyclo(D-Tyr-D-Pro),283.1053,173.0652,M+Na,https://www.npatlas.org/explore/compounds/NPA000159
NPA000160,8-Hydroxy-4-methoxyquinoline-2-carbothioic S-acid,258.0195,155.48042,M+Na,https://www.npatlas.org/explore/compounds/NPA000160
NPA000161,Obionin A,379.1516,214.69547,M+Na,https://www.npatlas.org/explore/compounds/NPA000161
NPA000162,Penicillactone B,555.1837,238.28844,M+Na,https://www.npatlas.org/explore/compounds/NPA000162
NPA000163,21-O-Deacetylcytochalasin Q,488.2407,221.99771,M+Na,https://www.npatlas.org/explore/compounds/NPA000163
NPA000164,Nonylprodigiosin,386.2203,207.96104,M+Na,https://www.npatlas.org/explore/compounds/NPA000164
NPA000165,Not named,286.9848,160.93147,M+Na,https://www.npatlas.org/explore/compounds/NPA000165
NPA000166,Sterpurol A,259.1668,158.83572,M+Na,https://www.npatlas.org/explore/compounds/NPA000166
NPA000167,MBA 028-24 A,1104.6553,327.72488,M+Na,https://www.npatlas.org/explore/compounds/NPA000167
NPA000168,Mucidone,203.1042,152.57928,M+Na,https://www.npatlas.org/explore/compounds/NPA000168
NPA000169,"(3S)‐8‐[(6‐O‐acetyl‐β‐D‐glucopyranosyl)oxy]‐3‐[(1E,3E,5E)‐hepta‐1,3,5‐trienyl]‐3,4‐dihydro‐6‐methoxy‐5‐methyl‐1H‐2‐benzopyran‐1‐one",527.1887,224.89815,M+Na,https://www.npatlas.org/explore/compounds/NPA000169
NPA000170,Not named,1146.6057,336.32748,M+Na,https://www.npatlas.org/explore/compounds/NPA000170
NPA000171,(+)-epoxyserinone B,249.0733,163.12132,M+Na,https://www.npatlas.org/explore/compounds/NPA000171
NPA000172,Ganoderic acid D,541.3136,229.94319,M+Na,https://www.npatlas.org/explore/compounds/NPA000172
NPA000173,Arthrofactin,1376.7899,372.6227,M+Na,https://www.npatlas.org/explore/compounds/NPA000173
NPA000174,Aspereline C,945.5744,312.44208,M+Na,https://www.npatlas.org/explore/compounds/NPA000174
NPA000175,Aschernaphthopyrone A,539.1312,223.24977,M+Na,https://www.npatlas.org/explore/compounds/NPA000175
NPA000176,Punctaporonin H,333.1672,184.83525,M+Na,https://www.npatlas.org/explore/compounds/NPA000176
NPA000177,Conidiogenone D,341.2087,190.04488,M+Na,https://www.npatlas.org/explore/compounds/NPA000177
NPA000178,Sch 50676,357.0733,193.67319,M+Na,https://www.npatlas.org/explore/compounds/NPA000178
NPA000179,Taveuniamide D,476.0324,196.27,M+Na,https://www.npatlas.org/explore/compounds/NPA000179
NPA000180,Massetolide H,1176.7102,348.53006,M+Na,https://www.npatlas.org/explore/compounds/NPA000180
NPA000181,Fuzanin D,242.1151,166.8927,M+Na,https://www.npatlas.org/explore/compounds/NPA000181
NPA000182,"2,3-dihydroxypropyl (Z)-10-methyloctadec-9-enoate",393.2975,212.0341,M+Na,https://www.npatlas.org/explore/compounds/NPA000182
NPA000183,SCH-64877,791.1771,276.17398,M+Na,https://www.npatlas.org/explore/compounds/NPA000183
NPA000184,Guineamide A,636.2826,247.30052,M+Na,https://www.npatlas.org/explore/compounds/NPA000184
NPA000185,"1,4,6b,7,10-pentahydroxy-1,2,6b,7,8,12b-hexahydroperylene-3,9-dione",391.0788,197.67703,M+Na,https://www.npatlas.org/explore/compounds/NPA000185
NPA000186,Calocerin C,260.0085,160.92807,M+Na,https://www.npatlas.org/explore/compounds/NPA000186
NPA000187,"5α,8α-epidioxy-24(R)-methylcholesta-6,22-dien-3β-ol",453.3339,222.36723,M+Na,https://www.npatlas.org/explore/compounds/NPA000187
NPA000188,Carbazomycin B,264.0995,164.08293,M+Na,https://www.npatlas.org/explore/compounds/NPA000188
NPA000189,"5-hydroxy-2,7-dimethoxy-8-methylnaphthoquinone",271.0577,165.70427,M+Na,https://www.npatlas.org/explore/compounds/NPA000189
NPA000190,Paecilocin D,285.1461,180.9724,M+Na,https://www.npatlas.org/explore/compounds/NPA000190
NPA000191,Scopararane F,373.1985,179.88066,M+Na,https://www.npatlas.org/explore/compounds/NPA000191
NPA000192,Kigamicin A,688.2,249.06714,M+Na,https://www.npatlas.org/explore/compounds/NPA000192
NPA000193,Menaquinone MK-7,671.4798,251.33055,M+Na,https://www.npatlas.org/explore/compounds/NPA000193
NPA000194,Neomangicol C,439.2455,200.68095,M+Na,https://www.npatlas.org/explore/compounds/NPA000194
NPA000195,Salinipostin A,495.2846,221.61443,M+Na,https://www.npatlas.org/explore/compounds/NPA000195
NPA000196,Maristachone B,235.0941,156.29805,M+Na,https://www.npatlas.org/explore/compounds/NPA000196
NPA000197,Maltepolide B,537.2823,239.27815,M+Na,https://www.npatlas.org/explore/compounds/NPA000197
NPA000198,Actinomycin Y2,1329.5529,358.88083,M+Na,https://www.npatlas.org/explore/compounds/NPA000198
NPA000199,Deoxyneo-beta-hydroxyaspergillic acid,247.1417,170.43471,M+Na,https://www.npatlas.org/explore/compounds/NPA000199
NPA000200,3'-O-[beta-D-galactopyranosyl-(1-->4)-beta-D-galactopyranosyl]-5-bromouridine,669.0749,220.14223,M+Na,https://www.npatlas.org/explore/compounds/NPA000200
NPA000201,Nisamycin,448.173,211.23787,M+Na,https://www.npatlas.org/explore/compounds/NPA000201
NPA000202,"CJ-19,784",444.9893,198.02478,M+Na,https://www.npatlas.org/explore/compounds/NPA000202
NPA000203,Neovasipyrone B,349.1621,193.97182,M+Na,https://www.npatlas.org/explore/compounds/NPA000203
NPA000204,Hirsutenol C,273.1461,167.5332,M+Na,https://www.npatlas.org/explore/compounds/NPA000204
NPA000205,Hexatenuin A,591.3292,257.0887,M+Na,https://www.npatlas.org/explore/compounds/NPA000205
NPA000206,Petromurin A,535.2203,231.51949,M+Na,https://www.npatlas.org/explore/compounds/NPA000206
NPA000207,Sassafrin C,489.1884,223.88853,M+Na,https://www.npatlas.org/explore/compounds/NPA000207
NPA000208,Prejadomycin 2-carboxylate,391.0788,188.08287,M+Na,https://www.npatlas.org/explore/compounds/NPA000208
NPA000209,Leiwansterol A,483.3445,225.04227,M+Na,https://www.npatlas.org/explore/compounds/NPA000209
NPA000211,"5-Hydroxy-3,4,5-trimethylfuran-2(5H)-one",165.0522,141.33458,M+Na,https://www.npatlas.org/explore/compounds/NPA000211
NPA000212,35‐O‐α‐altruronopyranosylbacteriohopanetetrol,745.4861,264.01398,M+Na,https://www.npatlas.org/explore/compounds/NPA000212
NPA000213,Cytochalasin Z19,550.2411,228.29399,M+Na,https://www.npatlas.org/explore/compounds/NPA000213
NPA000214,Spirotryprostatin A,418.1737,200.6006,M+Na,https://www.npatlas.org/explore/compounds/NPA000214
NPA000215,Ascosteroside,669.3973,248.77824,M+Na,https://www.npatlas.org/explore/compounds/NPA000215
NPA000216,Pestaloficiol V,283.1304,167.96684,M+Na,https://www.npatlas.org/explore/compounds/NPA000216
NPA000217,Tenelate B,509.2146,218.19658,M+Na,https://www.npatlas.org/explore/compounds/NPA000217
NPA000218,Agglomerin B,315.1567,183.8882,M+Na,https://www.npatlas.org/explore/compounds/NPA000218
NPA000219,Irlactin E,273.1461,176.90054,M+Na,https://www.npatlas.org/explore/compounds/NPA000219
NPA000220,9-Hydroxylarone,261.1097,168.46747,M+Na,https://www.npatlas.org/explore/compounds/NPA000220
NPA000221,Spirangien G,741.4548,270.1071,M+Na,https://www.npatlas.org/explore/compounds/NPA000221
NPA000222,Luminacin G2,487.2302,227.35725,M+Na,https://www.npatlas.org/explore/compounds/NPA000222
NPA000223,Erythrin,445.1105,200.16234,M+Na,https://www.npatlas.org/explore/compounds/NPA000223
NPA000224,Trichoaurantianolide D,413.1934,198.12248,M+Na,https://www.npatlas.org/explore/compounds/NPA000224
NPA000225,"2′,3′,4′′-triacetoxy-3,4,5′,6′-tetrahydroxy-p-terphenyl",491.0948,205.5471,M+Na,https://www.npatlas.org/explore/compounds/NPA000225
NPA000226,Pullularin F,731.3626,260.96848,M+Na,https://www.npatlas.org/explore/compounds/NPA000226
NPA000227,methyl 1-(1-b-Glucopyranosyl)-1H-indole-3-acetate,374.121,181.60812,M+Na,https://www.npatlas.org/explore/compounds/NPA000227
NPA000228,Tirandamycin G,444.1993,208.72137,M+Na,https://www.npatlas.org/explore/compounds/NPA000228
NPA000229,16-deoxo-paraherquamide J,500.252,222.32048,M+Na,https://www.npatlas.org/explore/compounds/NPA000229
NPA000230,Saponaceolide O,539.2979,242.8763,M+Na,https://www.npatlas.org/explore/compounds/NPA000230
NPA000232,Beticolin 0,645.077,249.43999,M+Na,https://www.npatlas.org/explore/compounds/NPA000232
NPA000233,2-[4'-(methylamino)phenyl]quinazolin-4(3H)-one,274.0951,166.45757,M+Na,https://www.npatlas.org/explore/compounds/NPA000233
NPA000234,Abyssomicin D,371.1465,200.48691,M+Na,https://www.npatlas.org/explore/compounds/NPA000234
NPA000235,Lucidulactone A,277.0682,170.96317,M+Na,https://www.npatlas.org/explore/compounds/NPA000235
NPA000236,Bacilosarcin C,517.2156,227.65553,M+Na,https://www.npatlas.org/explore/compounds/NPA000236
NPA000237,Stachybotrin A,424.2094,202.07521,M+Na,https://www.npatlas.org/explore/compounds/NPA000237
NPA000238,SMTP-7,891.4766,295.97733,M+Na,https://www.npatlas.org/explore/compounds/NPA000238
NPA000239,(-)-applanatumol K,345.0945,178.01985,M+Na,https://www.npatlas.org/explore/compounds/NPA000239
NPA000240,Not named,137.0573,127.07824,M+Na,https://www.npatlas.org/explore/compounds/NPA000240
NPA000241,Guanacastepene K,411.1778,205.50572,M+Na,https://www.npatlas.org/explore/compounds/NPA000241
NPA000242,2-methyl-phenol,131.0467,133.16457,M+Na,https://www.npatlas.org/explore/compounds/NPA000242
NPA000243,(±)-hemi-oxanthromicin B,365.0995,196.34877,M+Na,https://www.npatlas.org/explore/compounds/NPA000243
NPA000244,6-(3'-methylbuten-2'-yl) isatin,238.0838,157.9806,M+Na,https://www.npatlas.org/explore/compounds/NPA000244
NPA000245,Fudecalone,273.1461,171.1734,M+Na,https://www.npatlas.org/explore/compounds/NPA000245
NPA000246,Phomodione,413.1207,195.7082,M+Na,https://www.npatlas.org/explore/compounds/NPA000246
NPA000247,"methyl 3,5-dichloro-4-methoxybenzoate",256.9742,155.308,M+Na,https://www.npatlas.org/explore/compounds/NPA000247
NPA000248,Melanoxadin,192.0631,146.4043,M+Na,https://www.npatlas.org/explore/compounds/NPA000248
NPA000249,(2S)-5-acetamidopentyl 2-hydroxypropanoate,240.1206,159.4901,M+Na,https://www.npatlas.org/explore/compounds/NPA000249
