NPAID,Name,m/z,CCS,Adduct
NPA000151,Epi-isozizaene,202.1732,185.79828,M-2H
NPA000152,Phomopsin C,334.1791,224.83765,M-2H
NPA000153,Dictyoquinazol A,310.0964,208.51103,M-2H
NPA000154,Corynechromone A,306.1114,208.91777,M-2H
NPA000155,Hyapyrroline A,565.3414,259.08017,M-2H
NPA000156,Venezueline G,193.0749,174.30228,M-2H
NPA000157,Hamigeromycin D,392.1482,224.81345,M-2H
NPA000158,Xylaripyrone A,168.0433,169.74008,M-2H
NPA000159,Cyclo(D-Tyr-D-Pro),258.1015,197.83806,M-2H
NPA000160,8-Hydroxy-4-methoxyquinoline-2-carbothioic S-acid,233.0157,180.44716,M-2H
NPA000161,Obionin A,354.1478,238.40399,M-2H
NPA000162,Penicillactone B,530.1799,264.37192,M-2H
NPA000163,21-O-Deacetylcytochalasin Q,463.2369,248.22484,M-2H
NPA000164,Nonylprodigiosin,361.2165,231.75484,M-2H
NPA000165,Not named,261.981,185.80348,M-2H
NPA000166,Sterpurol A,234.163,183.98262,M-2H
NPA000167,MBA 028-24 A,1079.6515,353.70633,M-2H
NPA000168,Mucidone,178.1004,177.98784,M-2H
NPA000169,"(3S)‐8‐[(6‐O‐acetyl‐β‐D‐glucopyranosyl)oxy]‐3‐[(1E,3E,5E)‐hepta‐1,3,5‐trienyl]‐3,4‐dihydro‐6‐methoxy‐5‐methyl‐1H‐2‐benzopyran‐1‐one",502.1849,250.19798,M-2H
NPA000170,Not named,1121.6019,362.3077,M-2H
NPA000171,(+)-epoxyserinone B,224.0695,187.94743,M-2H
NPA000172,Ganoderic acid D,516.3098,255.74559,M-2H
NPA000173,Arthrofactin,1351.7861,398.76382,M-2H
NPA000174,Aspereline C,920.5706,338.42242,M-2H
NPA000175,Aschernaphthopyrone A,514.1274,248.38744,M-2H
NPA000176,Punctaporonin H,308.1634,210.27261,M-2H
NPA000177,Conidiogenone D,316.2049,215.73378,M-2H
NPA000178,Sch 50676,332.0695,218.48041,M-2H
NPA000179,Taveuniamide D,451.0286,220.70522,M-2H
NPA000180,Massetolide H,1151.7064,374.61588,M-2H
NPA000181,Fuzanin D,217.1113,191.66559,M-2H
NPA000182,"2,3-dihydroxypropyl (Z)-10-methyloctadec-9-enoate",368.2937,236.34322,M-2H
NPA000183,SCH-64877,766.1733,302.15585,M-2H
NPA000184,Guineamide A,611.2788,273.3967,M-2H
NPA000185,"1,4,6b,7,10-pentahydroxy-1,2,6b,7,8,12b-hexahydroperylene-3,9-dione",366.075,222.58812,M-2H
NPA000186,Calocerin C,235.0047,186.05717,M-2H
NPA000187,"5α,8α-epidioxy-24(R)-methylcholesta-6,22-dien-3β-ol",428.3301,248.2463,M-2H
NPA000188,Carbazomycin B,239.0957,188.56313,M-2H
NPA000189,"5-hydroxy-2,7-dimethoxy-8-methylnaphthoquinone",246.0539,190.2228,M-2H
NPA000190,Paecilocin D,260.1423,205.40657,M-2H
NPA000191,Scopararane F,348.1947,204.68506,M-2H
NPA000192,Kigamicin A,663.1962,274.879,M-2H
NPA000193,Menaquinone MK-7,646.476,277.10104,M-2H
NPA000194,Neomangicol C,414.2417,226.18793,M-2H
NPA000195,Salinipostin A,470.2808,245.44675,M-2H
NPA000196,Maristachone B,210.0903,181.32115,M-2H
NPA000197,Maltepolide B,512.2785,265.2593,M-2H
NPA000198,Actinomycin Y2,1304.5491,385.10452,M-2H
NPA000199,Deoxyneo-beta-hydroxyaspergillic acid,222.1379,195.29292,M-2H
NPA000200,3'-O-[beta-D-galactopyranosyl-(1-->4)-beta-D-galactopyranosyl]-5-bromouridine,644.0711,244.71777,M-2H
NPA000201,Nisamycin,423.1692,236.18927,M-2H
NPA000202,"CJ-19,784",419.9855,222.87798,M-2H
NPA000203,Neovasipyrone B,324.1583,219.14136,M-2H
NPA000204,Hirsutenol C,248.1423,192.87907,M-2H
NPA000205,Hexatenuin A,566.3254,283.0706,M-2H
NPA000206,Petromurin A,510.2165,256.09677,M-2H
NPA000207,Sassafrin C,464.1846,248.73262,M-2H
NPA000208,Prejadomycin 2-carboxylate,366.075,212.97978,M-2H
NPA000209,Leiwansterol A,458.3407,250.90623,M-2H
NPA000211,"5-Hydroxy-3,4,5-trimethylfuran-2(5H)-one",140.0484,166.83861,M-2H
NPA000212,35‐O‐α‐altruronopyranosylbacteriohopanetetrol,720.4823,290.01178,M-2H
NPA000213,Cytochalasin Z19,525.2373,254.37785,M-2H
NPA000214,Spirotryprostatin A,393.1699,225.17653,M-2H
NPA000215,Ascosteroside,644.3935,275.01248,M-2H
NPA000216,Pestaloficiol V,258.1266,192.73955,M-2H
NPA000217,Tenelate B,484.2108,242.77193,M-2H
NPA000218,Agglomerin B,290.1529,207.99751,M-2H
NPA000219,Irlactin E,248.1423,202.2303,M-2H
NPA000220,9-Hydroxylarone,236.1059,192.96455,M-2H
NPA000221,Spirangien G,716.451,296.26498,M-2H
NPA000222,Luminacin G2,462.2264,253.16609,M-2H
NPA000223,Erythrin,420.1067,225.13234,M-2H
NPA000224,Trichoaurantianolide D,388.1896,223.98857,M-2H
NPA000225,"2′,3′,4′′-triacetoxy-3,4,5′,6′-tetrahydroxy-p-terphenyl",466.091,230.33533,M-2H
NPA000226,Pullularin F,706.3588,286.82516,M-2H
NPA000227,methyl 1-(1-b-Glucopyranosyl)-1H-indole-3-acetate,349.1172,206.40712,M-2H
NPA000228,Tirandamycin G,419.1955,234.8348,M-2H
NPA000229,16-deoxo-paraherquamide J,475.2482,247.9299,M-2H
NPA000230,Saponaceolide O,514.2941,268.4642,M-2H
NPA000232,Beticolin 0,620.0732,275.66174,M-2H
NPA000233,2-[4'-(methylamino)phenyl]quinazolin-4(3H)-one,249.0913,190.89197,M-2H
NPA000234,Abyssomicin D,346.1427,226.28462,M-2H
NPA000235,Lucidulactone A,252.0644,194.75418,M-2H
NPA000236,Bacilosarcin C,492.2118,253.38728,M-2H
NPA000237,Stachybotrin A,399.2056,227.13652,M-2H
NPA000238,SMTP-7,866.4728,322.20157,M-2H
NPA000239,(-)-applanatumol K,320.0907,203.05098,M-2H
NPA000240,Not named,112.0535,152.4536,M-2H
NPA000241,Guanacastepene K,386.174,230.72647,M-2H
NPA000242,2-methyl-phenol,106.0429,158.56216,M-2H
NPA000243,(±)-hemi-oxanthromicin B,340.0957,221.1358,M-2H
NPA000244,6-(3'-methylbuten-2'-yl) isatin,213.08,182.90788,M-2H
NPA000245,Fudecalone,248.1423,196.17082,M-2H
NPA000246,Phomodione,388.1169,220.36978,M-2H
NPA000247,"methyl 3,5-dichloro-4-methoxybenzoate",231.9704,180.70753,M-2H
NPA000248,Melanoxadin,167.0593,171.20543,M-2H
NPA000249,(2S)-5-acetamidopentyl 2-hydroxypropanoate,215.1168,184.5905,M-2H
NPA000250,Ripostatin B,494.2679,247.28954,M-2H
NPA000251,"7RS,11RS,2H-3,4,4a,5a,7,8-hexahydro-pyrano[2,3-b]cyclopenta[d]pyran-9(6H)-one",192.0797,182.77632,M-2H
NPA000252,Arthropsatriol B,224.1059,189.6058,M-2H
NPA000253,Chaxamycin B,621.2948,272.7598,M-2H
NPA000254,"2,4-Dimethylindole",143.0745,167.72139,M-2H
NPA000255,Epothilone C7,491.2352,268.17285,M-2H
NPA000256,Inotilone,216.0433,185.29141,M-2H
NPA000257,Pleosporone,288.0644,197.77019,M-2H
NPA000258,Ravenelone,424.1321,230.523,M-2H
NPA000259,Taxlllaid A,805.5324,317.9144,M-2H
NPA000260,Coprismycin B,272.063,191.68967,M-2H
NPA000261,Iso-cladospolide B,226.1216,188.23991,M-2H
NPA000262,Paecilomycine A,348.1583,220.6805,M-2H
NPA000263,SNF-4794-7,532.4138,276.4512,M-2H
NPA000265,Incrustoporin,200.0848,182.01842,M-2H
NPA000266,Microcystin-FR,1026.5185,349.67838,M-2H
NPA000267,Izuminoside A,384.0968,219.55879,M-2H
NPA000268,"4-methyl-7,11-heptadecadienoic acid",278.2256,202.8408,M-2H
NPA000269,Saponaceolide H,516.3098,269.52707,M-2H
NPA000270,Monocillinol B,237.0648,188.76978,M-2H
NPA000271,Muraymycin B3,1083.5459,349.07748,M-2H
NPA000272,Chlorohyellazole,319.0774,212.71077,M-2H
NPA000273,"(3S)-(3',5'-dihydroxyphenyl)butan-2-one",178.064,175.87108,M-2H
NPA000274,Magnicol E,402.2781,229.40204,M-2H
NPA000275,Penicitrinol L,360.1583,215.8227,M-2H
NPA000276,Asperpyrone B,568.138,277.07123,M-2H
NPA000277,Asterriquinone CT2,502.1903,254.883,M-2H
NPA000278,Isocadinanol A,252.1736,205.55547,M-2H
NPA000279,"(7R*,8S*)-4,7,8-trihydroxy-3,6,7,8-tetrahydronaphtho[2,3-c]furan-5(1H)-one",234.0539,190.57059,M-2H
NPA000280,"2α,11-dihydroxy-6-oxodrim-7-ene",250.1579,194.34914,M-2H
NPA000281,Inonotin G,266.1529,199.35854,M-2H
NPA000282,Cochleamycin A,372.1583,226.98186,M-2H
NPA000283,Tsugarioside C,614.4193,275.41418,M-2H
NPA000284,N-methyl-streptothricin D,770.4409,298.46686,M-2H
NPA000285,Brassicicene E,420.2159,238.68138,M-2H
NPA000286,"7,9-dihydroxy-3-(1H-indol-3-ylmethyl)-8-methoxy-2,3,11,11a-tetrahydro-6H-pyrazino[1,2-b]isoquinoline-1,4-dione",405.1335,224.93008,M-2H
NPA000287,Milbemycin β9,558.3203,266.2999,M-2H
NPA000288,Exochelin MS,606.2984,262.246,M-2H
NPA000289,Radarin D,405.3042,237.49225,M-2H
NPA000290,Brocaenol A,332.0543,219.37859,M-2H
NPA000291,"1,4-dimethoxy-2,3,5,6-tetrachlorobenzene",271.8976,185.35019,M-2H
NPA000292,3-Keto-drimenol,234.163,190.13116,M-2H
NPA000293,Carbonarone B,227.0593,185.77711,M-2H
NPA000294,D-Phe-L-Val-D-Val-L-Tyr,524.2645,253.48253,M-2H
NPA000295,Mycestericin F,385.2839,242.44612,M-2H
NPA000296,Brasilamide M,291.1117,205.89334,M-2H
NPA000297,Fomitoside I,616.3986,272.2388,M-2H
NPA000298,Jadomycin Ala,505.1383,255.0135,M-2H
NPA000299,6-hydroxymetatacarboline B,523.1714,251.13676,M-2H
NPA000300,"CJ-15,801",215.0804,179.04318,M-2H
NPA000301,Penochalasin D,509.2689,252.26576,M-2H
NPA000302,Sch53514,364.0594,218.09955,M-2H
NPA000303,"3-O-β-d-glucopyranosyl-22E,24R-5α,8α-epidioxyergosta-6,22-diene,",588.3673,266.67737,M-2H
NPA000304,4β-acetoxy-9β-10β-15α-trihydroxyprobotrydial,310.1791,205.25966,M-2H
NPA000305,Quartromicin D2,1182.541,361.851,M-2H
NPA000306,Bjerkanderol A,180.0797,174.66545,M-2H
NPA000307,Strobilurin I,372.1583,231.24782,M-2H
NPA000308,Fusicoccin Q,496.2683,258.04962,M-2H
NPA000309,"(3S,5E,7S,8S)-13-Bromo-3,4,7,8,9,10-hexahydro-7,8,9,16-tetrahydroxy-14-methoxy-3-methyl-1H-2-benzooxacyclotetradecin-1-one",440.0481,226.01419,M-2H
NPA000310,Chaetocochin J,708.0964,270.64258,M-2H
NPA000311,"N-<9,10-dihydro-7-iso-jasmonoyl>-(S)-isoleucine",323.2107,224.67659,M-2H
NPA000312,Thiomuracin D,1306.2169,366.98764,M-2H
NPA000315,Agrocybyne C,131.0382,161.61566,M-2H
NPA000316,Asterobactin A,767.3712,300.84317,M-2H
NPA000317,Lucensimycin F,1008.342,317.35635,M-2H
NPA000318,Saccharosacrin B,1251.6927,386.53503,M-2H
NPA000319,Halovir C,847.6157,329.39645,M-2H
NPA000320,Dl-fucosamin,161.0699,170.07314,M-2H
NPA000321,Penicillar C,180.1161,181.43993,M-2H
NPA000322,5-hydroxymethylfurfural,124.0171,154.09392,M-2H
NPA000323,Lecanorafuran B,452.127,247.69963,M-2H
NPA000324,15G256κ,296.0907,198.31958,M-2H
NPA000325,Coniofurol A,334.0699,211.25688,M-2H
NPA000326,Naphthomycin A,717.2715,298.0864,M-2H
NPA000327,Alternariol-9-methyl ether,270.0539,202.7621,M-2H
NPA000328,Coniothyrinone B,260.1059,192.19987,M-2H
NPA000329,Gulypyrone A,210.0903,183.85875,M-2H
NPA000330,Elmenol B,334.1216,219.16653,M-2H
NPA000331,Microcin C51,1175.419,348.58292,M-2H
NPA000332,3beta-Acetoxyfern-9(11)-en-19beta-ol,482.377,253.44815,M-2H
NPA000333,Methylmenaquinone MMK-8(VIII-H2),730.5699,291.7791,M-2H
NPA000334,Thioactin,1054.1738,336.3021,M-2H
NPA000335,Iso-C17 bacillomycin D,1070.5659,340.43826,M-2H
NPA000336,Mycoleptone A,426.1325,229.85844,M-2H
NPA000337,Resorstatin,262.1943,204.67259,M-2H
NPA000338,Squalestatin T1,686.2585,281.65396,M-2H
NPA000339,Pyrenochaetic acid G,250.0852,192.90897,M-2H
NPA000340,Asporyzin A,433.2627,245.51997,M-2H
NPA000341,Oxopropaline G,252.0909,191.59732,M-2H
NPA000342,Aurantiomide C,338.1389,218.8636,M-2H
NPA000343,3-epi-radicinin,234.0539,188.10107,M-2H
NPA000344,Cyclipostin F,456.2287,237.28374,M-2H
NPA000345,Phomacin A,429.2526,243.43901,M-2H
NPA000346,Chetracin D,786.1644,277.2869,M-2H
NPA000347,Unguisin C,772.3919,298.68546,M-2H
NPA000348,Pheofungin B,341.0368,210.90323,M-2H
NPA000349,Heliquinomycin,696.1337,283.0188,M-2H
NPA000350,Gymnastatin B,485.1746,255.64336,M-2H
NPA000351,Aeruginosin GE730,728.1543,272.45383,M-2H
NPA000352,Phomoenamide,282.159,200.83643,M-2H
NPA000353,Mangromicin A,408.2159,232.82104,M-2H
NPA000354,Coeligiosin A,610.4621,294.0064,M-2H
NPA000355,Kasumigamide,784.3555,297.9914,M-2H
NPA000356,Koninginin G,300.1947,212.25716,M-2H
NPA000357,"1,3-Dimethoxybenzene",136.0535,162.15443,M-2H
NPA000358,Quercinic acid C,500.3512,253.23189,M-2H
NPA000359,Mixirin B,998.4832,341.9025,M-2H
NPA000360,TMC-95 C,676.2503,292.7874,M-2H
NPA000361,Citreodiol,212.1059,183.8739,M-2H
NPA000362,5-butyl-4-methoxy-6-methyl-2H-pyran-2-one,194.0953,180.98996,M-2H
NPA000363,Cladosporol C,336.1008,215.8033,M-2H
NPA000364,Ustilagic acid C,506.2738,233.06087,M-2H
NPA000365,10-epi-sclerotiamide,461.1961,245.1662,M-2H
NPA000366,6-epi-Ophiobolin A,398.2468,234.7007,M-2H
NPA000367,6'-N-Methylbutirosin B,567.2762,251.79272,M-2H
NPA000368,"1,4,6-trihydroxy-8-pentyl-9,10-anthraquinone",324.1008,218.23927,M-2H
NPA000369,Creolophin D,246.0903,202.15652,M-2H
NPA000370,Leptosphaerin C,272.0695,195.7687,M-2H
NPA000371,Preussomerin EG2,364.0594,218.27019,M-2H
NPA000372,Palmarumycin C12,348.0644,214.91759,M-2H
NPA000373,Neomaclafungin A,778.5242,287.69174,M-2H
NPA000374,Jamaicamide B,486.2296,239.56273,M-2H
NPA000375,Nigerapyrone H,306.1266,210.24394,M-2H
NPA000376,Hesseltin F,426.2053,236.79002,M-2H
NPA000377,(6Z)-9'-apo-rhodoxanthinone,414.2569,246.89607,M-2H
NPA000378,"4,6-dichloro-3,7-dihydroxy-1,9-dimethyldibenzofuran",293.9861,198.98134,M-2H
NPA000379,Kobifuranone A,194.0953,182.49242,M-2H
NPA000380,Frigocyclinone,461.1849,246.50293,M-2H
NPA000381,Cyclo-(L-Phe-L-Leu1-L-Leu2-L-Leu3-L-Ile),597.3901,280.2404,M-2H
NPA000382,Ralfuranone B,264.0797,191.67844,M-2H
NPA000383,Enokipodin F,248.1423,195.17053,M-2H
NPA000384,Anserinone B,208.0746,182.81935,M-2H
NPA000385,"3,4-dihydro-3,4,8-trihydroxy-1(2H)-naphthalenone",192.0433,185.20833,M-2H
NPA000386,Mollisinol A,324.2311,224.33781,M-2H
NPA000387,Shengjimycin C2,938.5362,329.0381,M-2H
NPA000388,6-acetylmonodethiogliotoxin,334.0634,198.60307,M-2H
NPA000389,Orirubenone A,304.0957,205.73505,M-2H
NPA000390,Not named,233.1426,193.92009,M-2H
NPA000391,"N-trans-cinnamoyl 2-amino-3a,4,5,6,7,8,9,10,11,12,13,13a-dodecahydrocyclododeca[d]oxazole",352.2161,232.5418,M-2H
NPA000392,Tenuecyclamide D,520.0668,242.59715,M-2H
NPA000393,Tetrangulol,302.059,204.68738,M-2H
NPA000394,Marihysin A,1040.5301,352.75803,M-2H
NPA000395,Lolicine-B 11-O-propionate,671.3833,281.49936,M-2H
NPA000396,"Isopimara-8,15-diene",270.2358,201.93419,M-2H
NPA000397,Oxepinamide C,359.1492,226.97218,M-2H
NPA000398,Cytochalasin B,477.2526,255.65436,M-2H
NPA000399,Cochlioquinol II,546.3203,258.59207,M-2H
NPA000400,"6-deoxy-13-hydroxy-8,11-dionedihydrogranaticin B",542.1799,255.4183,M-2H
NPA000401,Liposidomycin X-(III),913.4179,317.54004,M-2H
NPA000402,Not named,203.0593,177.68697,M-2H
NPA000403,(E)-pseudoxylallemycin F,700.3847,317.5839,M-2H
NPA000404,"N-acetyl-3-amino-3,6-dideoxy-d-galactose",203.0804,181.24751,M-2H
NPA000405,Astellolide E,264.1372,197.29233,M-2H
NPA000406,Beta-Amyrin,424.3716,248.40593,M-2H
NPA000407,Apramide C,976.583,344.13162,M-2H
NPA000408,Allobeauvericin B,809.4262,303.73932,M-2H
NPA000409,Bezerramycin A,283.0604,199.14372,M-2H
NPA000410,Saponaroxin C,394.1274,222.81071,M-2H
NPA000411,Sanguinone A,296.092,201.62584,M-2H
NPA000412,Dynemicin A,535.0914,246.0977,M-2H
NPA000413,Kolokoside A,648.3884,277.98676,M-2H
NPA000414,Rapamycin,911.5405,334.07178,M-2H
NPA000415,"(6a)-21,21-O-dihydroophiobolin G",366.2569,224.54817,M-2H
NPA000416,Pyrenocine J,208.0746,184.72328,M-2H
NPA000417,GGL.4,700.5136,305.78336,M-2H
NPA000418,4-Hydroxybenzoyl 6-Deoxy-α-L-talopyranoside,282.075,196.54099,M-2H
NPA000419,NW-G03,752.3172,290.22986,M-2H
NPA000420,(-)-applanatumol L,334.1063,204.85158,M-2H
NPA000421,Sterenin G,368.127,216.97334,M-2H
